thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,GRUENE,agree,Zustimmung,0,0.0,-1.2463479042053223,-0.3713478446006775,-4.871347904205322,0.2919260859489441,0.7002943158149719,0.007779567968100309,Neutral,-0.8860478103160858,0.2919260859489441,0
BT21::3,GRUENE,agree,Zustimmung,0,0.5,-1.2476677894592285,-0.3726678490638733,-4.7476677894592285,0.2916240394115448,0.6995697021484375,0.00880628265440464,Neutral,-0.8875095248222351,0.2916240394115448,0
BT21::3,GRUENE,agree,Zustimmung,0,1.0,-1.2464189529418945,-0.37141895294189453,-4.8714189529418945,0.2919261157512665,0.7002943158149719,0.007779567968100309,Neutral,-0.886047750711441,0.2919261157512665,0
BT21::3,GRUENE,agree,Zustimmung,0,2.0,-1.161810040473938,-0.4118100106716156,-4.786809921264648,0.3181016743183136,0.6734212040901184,0.008477122522890568,Neutral,-0.7625096142292023,0.3181016743183136,0
BT21::3,GRUENE,agree,Zustimmung,0,4.0,-1.2463500499725342,-0.3713500499725342,-4.871350288391113,0.2919261157512665,0.7002943158149719,0.007779567968100309,Neutral,-0.886047750711441,0.2919261157512665,0
BT21::3,GRUENE,agree,Zustimmung,0,8.0,-1.2463830709457397,-0.37138304114341736,-4.871383190155029,0.2919261157512665,0.7002943158149719,0.007779567968100309,Neutral,-0.8860477805137634,0.2919261157512665,0
BT21::4,GRUENE,disagree,Ablehnung,0,0.0,-6.234511375427246,-1.2345112562179565,-0.35951128602027893,0.0019784828182309866,0.2936328649520874,0.7043886184692383,A,0.868284672498703,0.7043886184692383,1
BT21::4,GRUENE,disagree,Ablehnung,0,0.5,-6.148715019226074,-1.1487151384353638,-0.39871516823768616,0.0021570143289864063,0.32012930512428284,0.6777136921882629,A,0.743284672498703,0.6777136921882629,1
BT21::4,GRUENE,disagree,Ablehnung,0,1.0,-6.074172019958496,-1.3241722583770752,-0.3241722285747528,0.0023213978856801987,0.2683171331882477,0.7293614745140076,A,0.9913854897022247,0.7293614745140076,1
BT21::4,GRUENE,disagree,Ablehnung,0,2.0,-6.233825206756592,-1.2338252067565918,-0.358825147151947,0.0019784828182309866,0.293632835149765,0.7043886184692383,A,0.8682847619056702,0.7043886184692383,1
BT21::4,GRUENE,disagree,Ablehnung,0,4.0,-6.109576225280762,-1.2345762252807617,-0.35957619547843933,0.0022413244005292654,0.29355552792549133,0.7042031288146973,A,0.8673938810825348,0.7042031288146973,1
BT21::4,GRUENE,disagree,Ablehnung,0,8.0,-6.1098527908325195,-1.2348527908325195,-0.35985273122787476,0.0022413244005292654,0.29355552792549133,0.7042031288146973,A,0.8673939108848572,0.7042031288146973,1
