thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,CDU_CSU,disagree,Ablehnung,0,0.0,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-18.749999049163307,7.194133289090132e-09,0
BT21::3,CDU_CSU,disagree,Ablehnung,0,0.5,-17.75007438659668,-7.533743337262422e-05,-18.75007438659668,1.9555681518568235e-08,1.0,7.194133289090132e-09,Neutral,-18.749999049163307,7.194133289090132e-09,0
BT21::3,CDU_CSU,disagree,Ablehnung,0,1.0,-17.500097274780273,-9.667406266089529e-05,-18.500097274780273,2.510999053129126e-08,1.0,9.23744991609965e-09,Neutral,-18.500000600717613,9.23744991609965e-09,0
BT21::3,CDU_CSU,disagree,Ablehnung,0,2.0,-17.75007438659668,-7.533743337262422e-05,-18.87507438659668,1.9555681518568235e-08,1.0,6.348800152267131e-09,Neutral,-18.874999049163307,6.348800152267131e-09,0
BT21::3,CDU_CSU,disagree,Ablehnung,0,4.0,-17.87507438659668,-7.521823135903105e-05,-19.00007438659668,1.7257828943684217e-08,1.0,5.602796449011294e-09,Neutral,-18.99999916836532,5.602796449011294e-09,0
BT21::3,CDU_CSU,disagree,Ablehnung,0,8.0,-17.500097274780273,-9.667406266089529e-05,-18.500097274780273,2.510999053129126e-08,1.0,9.23744991609965e-09,Neutral,-18.500000600717613,9.23744991609965e-09,0
BT21::4,CDU_CSU,disagree,Ablehnung,0,0.0,-20.000709533691406,-0.0007104733376763761,-15.750710487365723,2.06115324807854e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-15.750000014028046,1.4449801710725296e-07,0
BT21::4,CDU_CSU,disagree,Ablehnung,0,0.5,-20.000709533691406,-0.0007103541865944862,-15.875710487365723,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-15.875000133179128,1.2751904421293148e-07,0
BT21::4,CDU_CSU,disagree,Ablehnung,0,1.0,-20.000553131103516,-0.000553335587028414,-15.875553131103516,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-15.874999795516487,1.2751904421293148e-07,0
BT21::4,CDU_CSU,disagree,Ablehnung,0,2.0,-20.125553131103516,-0.000553335587028414,-16.000553131103516,1.818961425925636e-09,0.9999998807907104,1.1253516163378663e-07,Neutral,-15.999999795516487,1.1253516163378663e-07,0
BT21::4,CDU_CSU,disagree,Ablehnung,0,4.0,-20.000709533691406,-0.0007103541865944862,-16.000709533691406,2.06115324807854e-09,0.9999998807907104,1.1253527532062435e-07,Neutral,-15.999999179504812,1.1253527532062435e-07,0
