thesis_key,party_key,true_stance,congruent_word,layer,alpha,lp_Zustimmung,lp_Neutral,lp_Ablehnung,p3_Zustimmung,p3_Neutral,p3_Ablehnung,top1_token,margin_cong,p3_cong,argmax3_is_cong
BT21::3,GRUENE,agree,Zustimmung,0,0.0,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-17.624999049163307,2.2159490242756874e-08,0
BT21::3,GRUENE,agree,Zustimmung,0,0.5,-17.62507438659668,-7.533743337262422e-05,-18.75007438659668,2.2159490242756874e-08,1.0,7.194133289090132e-09,Neutral,-17.624999049163307,2.2159490242756874e-08,0
BT21::3,GRUENE,agree,Zustimmung,0,1.0,-17.75007438659668,-7.533743337262422e-05,-18.87507438659668,1.9555681518568235e-08,1.0,6.348800152267131e-09,Neutral,-17.749999049163307,1.9555681518568235e-08,0
BT21::3,GRUENE,agree,Zustimmung,0,2.0,-17.500097274780273,-9.667406266089529e-05,-18.625097274780273,2.510999053129126e-08,1.0,8.152020392060422e-09,Neutral,-17.500000600717613,2.510999053129126e-08,0
BT21::3,GRUENE,agree,Zustimmung,0,4.0,-17.375097274780273,-9.667406266089529e-05,-18.500097274780273,2.8453348122070565e-08,1.0,9.23744991609965e-09,Neutral,-17.375000600717613,2.8453348122070565e-08,0
BT21::3,GRUENE,agree,Zustimmung,0,8.0,-17.500097274780273,-9.667406266089529e-05,-18.500097274780273,2.510999053129126e-08,1.0,9.23744991609965e-09,Neutral,-17.500000600717613,2.510999053129126e-08,0
BT21::4,GRUENE,disagree,Ablehnung,0,0.0,-20.000709533691406,-0.0007104733376763761,-15.750710487365723,2.06115324807854e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-15.750000014028046,1.4449801710725296e-07,0
BT21::4,GRUENE,disagree,Ablehnung,0,0.5,-19.875709533691406,-0.0007104733376763761,-15.500710487365723,2.3355923861601013e-09,0.9999997615814209,1.855391076333035e-07,Neutral,-15.500000014028046,1.855391076333035e-07,0
BT21::4,GRUENE,disagree,Ablehnung,0,1.0,-19.750911712646484,-0.0009120118920691311,-15.625911712646484,2.64657362691878e-09,0.9999998807907104,1.6373769540223293e-07,Neutral,-15.624999700754415,1.6373769540223293e-07,0
BT21::4,GRUENE,disagree,Ablehnung,0,2.0,-20.000709533691406,-0.0007103541865944862,-15.875710487365723,2.06115324807854e-09,0.9999998807907104,1.2751904421293148e-07,Neutral,-15.875000133179128,1.2751904421293148e-07,0
BT21::4,GRUENE,disagree,Ablehnung,0,4.0,-20.125553131103516,-0.0005534547381103039,-16.000553131103516,1.818961425925636e-09,0.9999998807907104,1.1253516163378663e-07,Neutral,-15.999999676365405,1.1253516163378663e-07,0
BT21::4,GRUENE,disagree,Ablehnung,0,8.0,-19.875911712646484,-0.0009120118920691311,-15.750911712646484,2.335592830249311e-09,0.9999998807907104,1.4449801710725296e-07,Neutral,-15.749999700754415,1.4449801710725296e-07,0
BT21::6,GRUENE,disagree,Ablehnung,0,0.0,-17.875123977661133,-0.00012385078298393637,-19.000123977661133,1.7257828943684217e-08,1.0,5.602796449011294e-09,Neutral,-19.00000012687815,5.602796449011294e-09,0
