layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
17,0.0,selection,CDU_CSU,57,57,57,3.2982,0.0,0.0,0.0
17,0.0,selection,GRUENE,57,57,57,4.4211,0.0,0.0,0.0
17,0.0,selection,SPD,57,57,57,4.1754,0.0,0.0,0.0
17,0.0,selection,AfD,57,57,57,3.0702,0.0,0.0,0.0
17,0.0,selection,DIE_LINKE,57,57,57,4.3158,0.0,0.0,0.0
17,0.25,selection,CDU_CSU,57,57,57,3.386,0.0877,-0.2982,0.4912
17,0.25,selection,GRUENE,57,57,57,4.193,-0.2281,-0.7018,0.193
17,0.25,selection,SPD,57,57,57,4.0877,-0.0877,-0.5263,0.4211
17,0.25,selection,AfD,57,57,57,2.8947,-0.1754,-0.4917,0.1754
17,0.25,selection,DIE_LINKE,57,57,57,3.9649,-0.3509,-0.7544,0.036
17,0.5,selection,CDU_CSU,57,57,57,3.3333,0.0351,-0.4211,0.5092
17,0.5,selection,GRUENE,57,57,57,4.2982,-0.1228,-0.5263,0.2632
17,0.5,selection,SPD,57,57,57,3.7193,-0.4561,-1.0175,0.2105
17,0.5,selection,AfD,57,57,57,2.7719,-0.2982,-0.6667,0.0526
17,0.5,selection,DIE_LINKE,57,57,57,3.7368,-0.5789,-1.1053,-0.0175
17,1.0,selection,CDU_CSU,57,57,57,3.3158,0.0175,-0.5088,0.4912
17,1.0,selection,GRUENE,57,57,57,4.2105,-0.2105,-0.6671,0.211
17,1.0,selection,SPD,57,57,57,3.8246,-0.3509,-0.8421,0.2105
17,1.0,selection,AfD,57,57,57,2.7895,-0.2807,-0.7895,0.193
17,1.0,selection,DIE_LINKE,57,57,57,3.807,-0.5088,-1.0526,0.0531
17,2.0,selection,CDU_CSU,57,57,57,2.8947,-0.4035,-1.0351,0.1754
17,2.0,selection,GRUENE,57,57,57,3.7719,-0.6491,-1.3509,0.0355
17,2.0,selection,SPD,57,57,57,3.5439,-0.6316,-1.2987,0.0526
