layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
15,0.0,selection,CDU_CSU,57,57,57,3.3158,0.0,0.0,0.0
15,0.0,selection,GRUENE,57,57,57,4.2105,0.0,0.0,0.0
15,0.0,selection,SPD,57,57,57,4.0351,0.0,0.0,0.0
15,0.0,selection,AfD,57,57,57,3.0877,0.0,0.0,0.0
15,0.0,selection,DIE_LINKE,57,57,57,4.2105,0.0,0.0,0.0
15,0.25,selection,CDU_CSU,57,57,57,3.2456,-0.0702,-0.4737,0.3333
15,0.25,selection,GRUENE,57,57,57,3.9825,-0.2281,-0.7193,0.2281
15,0.25,selection,SPD,57,57,57,3.8421,-0.193,-0.6145,0.2105
15,0.25,selection,AfD,57,57,57,3.0526,-0.0351,-0.3689,0.3333
15,0.25,selection,DIE_LINKE,57,57,57,3.8246,-0.386,-0.9649,0.1228
15,0.5,selection,CDU_CSU,57,57,57,3.4035,0.0877,-0.3333,0.4737
15,0.5,selection,GRUENE,57,57,57,3.9825,-0.2281,-0.7368,0.2632
15,0.5,selection,SPD,57,57,57,3.9298,-0.1053,-0.5614,0.4039
15,0.5,selection,AfD,57,57,57,2.8772,-0.2105,-0.5965,0.2105
15,0.5,selection,DIE_LINKE,57,57,57,3.7719,-0.4386,-1.0,0.0706
15,1.0,selection,CDU_CSU,57,57,57,3.2105,-0.1053,-0.5789,0.2991
15,1.0,selection,GRUENE,57,57,57,3.8246,-0.386,-0.8772,0.0
15,1.0,selection,SPD,57,57,57,3.7719,-0.2632,-0.7368,0.1934
15,1.0,selection,AfD,57,57,57,2.8596,-0.2281,-0.5789,0.193
15,1.0,selection,DIE_LINKE,57,57,57,3.5789,-0.6316,-1.0175,-0.2456
15,2.0,selection,CDU_CSU,57,57,57,3.3333,0.0175,-0.4917,0.5965
15,2.0,selection,GRUENE,57,57,57,4.3509,0.1404,-0.5088,0.7724
15,2.0,selection,SPD,57,57,57,4.1053,0.0702,-0.5443,0.7018
15,2.0,selection,AfD,57,57,57,2.6667,-0.4211,-0.9649,0.0004
15,2.0,selection,DIE_LINKE,57,57,57,4.1053,-0.1053,-0.7193,0.5614
15,4.0,selection,CDU_CSU,57,57,57,3.386,0.0702,-0.5614,0.7031
15,4.0,selection,GRUENE,57,57,57,3.5614,-0.6491,-1.2636,-0.0526
15,4.0,selection,SPD,57,57,57,3.4912,-0.5439,-1.1754,0.0355
15,4.0,selection,AfD,57,57,57,2.9474,-0.1404,-0.7018,0.4737
15,4.0,selection,DIE_LINKE,57,57,57,3.4737,-0.7368,-1.3684,-0.1228
15,8.0,selection,CDU_CSU,57,57,57,3.2807,-0.0351,-0.5263,0.4386
15,8.0,selection,GRUENE,57,57,57,3.9298,-0.2807,-0.7544,0.2105
15,8.0,selection,SPD,57,57,57,3.7544,-0.2807,-0.7899,0.2632
15,8.0,selection,AfD,57,57,57,2.9649,-0.1228,-0.5614,0.2807
15,8.0,selection,DIE_LINKE,57,57,57,3.7193,-0.4912,-1.0,0.018
16,0.0,selection,CDU_CSU,57,57,57,3.3158,0.0,0.0,0.0
16,0.0,selection,GRUENE,57,57,57,4.2105,0.0,0.0,0.0
16,0.0,selection,SPD,57,57,57,4.0351,0.0,0.0,0.0
16,0.0,selection,AfD,57,57,57,3.0877,0.0,0.0,0.0
16,0.0,selection,DIE_LINKE,57,57,57,4.2105,0.0,0.0,0.0
16,0.25,selection,CDU_CSU,57,57,57,3.3158,0.0,-0.4035,0.4386
16,0.25,selection,GRUENE,57,57,57,4.2807,0.0702,-0.4912,0.6145
16,0.25,selection,SPD,57,57,57,4.3158,0.2807,-0.2456,0.8246
16,0.25,selection,AfD,57,57,57,3.1228,0.0351,-0.3864,0.4737
16,0.25,selection,DIE_LINKE,57,57,57,4.0702,-0.1404,-0.6491,0.3333
16,0.5,selection,CDU_CSU,57,57,57,3.3333,0.0175,-0.4211,0.4386
16,0.5,selection,GRUENE,57,57,57,4.0351,-0.1754,-0.7193,0.386
16,0.5,selection,SPD,57,57,57,4.0702,0.0351,-0.4561,0.4912
16,0.5,selection,AfD,57,57,57,3.1053,0.0175,-0.4912,0.4566
16,0.5,selection,DIE_LINKE,57,57,57,3.9474,-0.2632,-0.7018,0.2105
16,1.0,selection,CDU_CSU,57,57,57,3.4737,0.1579,-0.2281,0.5789
16,1.0,selection,GRUENE,57,57,57,3.9649,-0.2456,-0.8246,0.3158
16,1.0,selection,SPD,57,57,57,4.0175,-0.0175,-0.5263,0.5439
16,1.0,selection,AfD,57,57,57,2.9649,-0.1228,-0.5088,0.2982
16,1.0,selection,DIE_LINKE,57,57,57,3.8772,-0.3333,-0.8421,0.1228
16,2.0,selection,CDU_CSU,57,57,57,3.3509,0.0351,-0.4561,0.5092
16,2.0,selection,GRUENE,57,57,57,3.8947,-0.3158,-0.8772,0.211
16,2.0,selection,SPD,57,57,57,3.8596,-0.1754,-0.7544,0.3338
16,2.0,selection,AfD,57,57,57,2.9825,-0.1053,-0.6491,0.386
16,2.0,selection,DIE_LINKE,57,57,57,3.7895,-0.4211,-0.8772,0.0351
16,4.0,selection,CDU_CSU,57,57,57,3.1404,-0.1754,-0.7018,0.4035
16,4.0,selection,GRUENE,57,57,57,3.6491,-0.5614,-1.193,0.0
16,4.0,selection,SPD,57,57,57,3.4386,-0.5965,-1.2105,0.0526
16,4.0,selection,AfD,57,57,57,3.386,0.2982,-0.3864,1.0882
