layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
25,0.0,selection,CDU_CSU,57,57,57,3.386,0.0,0.0,0.0
25,0.0,selection,GRUENE,57,57,57,4.2105,0.0,0.0,0.0
25,0.0,selection,SPD,57,57,57,3.8772,0.0,0.0,0.0
25,0.0,selection,AfD,57,57,57,3.3158,0.0,0.0,0.0
25,0.0,selection,DIE_LINKE,57,57,57,3.8421,0.0,0.0,0.0
25,0.25,selection,CDU_CSU,57,57,57,3.386,0.0,-0.2807,0.3158
25,0.25,selection,GRUENE,57,57,57,4.2281,0.0175,-0.386,0.4039
25,0.25,selection,SPD,57,57,57,4.2456,0.3684,-0.0526,0.807
25,0.25,selection,AfD,57,57,57,2.9474,-0.3684,-0.7895,0.0526
25,0.25,selection,DIE_LINKE,57,57,57,4.1404,0.2982,-0.0877,0.7544
25,0.5,selection,CDU_CSU,57,57,57,3.5088,0.1228,-0.2636,0.5439
25,0.5,selection,GRUENE,57,57,57,4.193,-0.0175,-0.4561,0.4035
25,0.5,selection,SPD,57,57,57,4.1228,0.2456,-0.1579,0.6491
25,0.5,selection,AfD,57,57,57,2.8246,-0.4912,-1.0175,-0.0171
25,0.5,selection,DIE_LINKE,57,57,57,3.9825,0.1404,-0.4566,0.7193
25,1.0,selection,CDU_CSU,57,57,57,3.4737,0.0877,-0.2632,0.4386
25,1.0,selection,GRUENE,57,57,57,4.0702,-0.1404,-0.5614,0.3333
25,1.0,selection,SPD,57,57,57,4.1754,0.2982,-0.1228,0.7193
25,1.0,selection,AfD,57,57,57,2.9649,-0.3509,-0.7719,0.0702
25,1.0,selection,DIE_LINKE,57,57,57,3.8596,0.0175,-0.5618,0.5439
25,2.0,selection,CDU_CSU,57,57,57,3.4035,0.0175,-0.4035,0.4386
25,2.0,selection,GRUENE,57,57,57,4.1754,-0.0351,-0.5088,0.4737
25,2.0,selection,SPD,57,57,57,3.8596,-0.0175,-0.4386,0.4386
25,2.0,selection,AfD,57,57,57,2.7193,-0.5965,-1.1579,-0.0697
25,2.0,selection,DIE_LINKE,57,57,57,3.4035,-0.4386,-1.0526,0.1228
25,4.0,selection,CDU_CSU,57,57,57,3.0526,-0.3333,-0.807,0.2105
25,4.0,selection,GRUENE,57,57,57,3.5263,-0.6842,-1.3684,0.0882
25,4.0,selection,SPD,57,57,57,3.5439,-0.3333,-1.0351,0.4039
25,4.0,selection,AfD,57,57,57,2.8246,-0.4912,-1.0702,0.1053
25,4.0,selection,DIE_LINKE,57,57,57,3.6667,-0.1754,-0.8246,0.5614
25,8.0,selection,CDU_CSU,57,57,57,3.1579,-0.2281,-0.7719,0.2811
25,8.0,selection,GRUENE,57,57,57,3.7193,-0.4912,-1.1404,0.193
25,8.0,selection,SPD,57,57,57,3.807,-0.0702,-0.7719,0.614
25,8.0,selection,AfD,57,57,57,2.7368,-0.5789,-1.1583,0.0004
25,8.0,selection,DIE_LINKE,57,57,57,3.8947,0.0526,-0.5969,0.7368
27,0.0,selection,CDU_CSU,57,57,57,3.386,0.0,0.0,0.0
27,0.0,selection,GRUENE,57,57,57,4.2105,0.0,0.0,0.0
27,0.0,selection,SPD,57,57,57,3.8772,0.0,0.0,0.0
27,0.0,selection,AfD,57,57,57,3.3158,0.0,0.0,0.0
27,0.0,selection,DIE_LINKE,57,57,57,3.8421,0.0,0.0,0.0
27,0.25,selection,CDU_CSU,57,57,57,3.4211,0.0351,-0.3333,0.4386
27,0.25,selection,GRUENE,57,57,57,4.193,-0.0175,-0.2987,0.3684
27,0.25,selection,SPD,57,57,57,4.0175,0.1404,-0.2105,0.5088
27,0.25,selection,AfD,57,57,57,2.8947,-0.4211,-0.9298,0.0
27,0.25,selection,DIE_LINKE,57,57,57,4.0351,0.193,-0.3162,0.6496
27,0.5,selection,CDU_CSU,57,57,57,3.5789,0.193,-0.1934,0.614
27,0.5,selection,GRUENE,57,57,57,4.3509,0.1404,-0.2807,0.5965
27,0.5,selection,SPD,57,57,57,3.7719,-0.1053,-0.5443,0.3338
27,0.5,selection,AfD,57,57,57,2.9649,-0.3509,-0.9123,0.1053
27,0.5,selection,DIE_LINKE,57,57,57,3.8772,0.0351,-0.4386,0.5439
27,1.0,selection,CDU_CSU,57,57,57,3.4912,0.1053,-0.193,0.4386
27,1.0,selection,GRUENE,57,57,57,4.2281,0.0175,-0.4737,0.5969
27,1.0,selection,SPD,57,57,57,3.8421,-0.0351,-0.5789,0.4737
27,1.0,selection,AfD,57,57,57,2.6316,-0.6842,-1.3509,-0.0702
27,1.0,selection,DIE_LINKE,57,57,57,4.0877,0.2456,-0.3513,0.8772
27,2.0,selection,CDU_CSU,57,57,57,3.4561,0.0702,-0.3333,0.5618
27,2.0,selection,GRUENE,57,57,57,3.8421,-0.3684,-0.9654,0.2632
27,2.0,selection,SPD,57,57,57,3.8421,-0.0351,-0.5969,0.4566
27,2.0,selection,AfD,57,57,57,2.7193,-0.5965,-1.2105,0.0175
27,2.0,selection,DIE_LINKE,57,57,57,3.7895,-0.0526,-0.6667,0.5789
27,4.0,selection,CDU_CSU,57,57,57,2.9474,-0.4386,-0.9825,0.0702
27,4.0,selection,GRUENE,57,57,57,3.8596,-0.3509,-1.0355,0.4561
