layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
19,0.0,selection,CDU_CSU,57,57,57,3.4912,0.0,0.0,0.0
19,0.0,selection,GRUENE,57,57,57,4.3684,0.0,0.0,0.0
19,0.0,selection,SPD,57,57,57,4.1053,0.0,0.0,0.0
19,0.0,selection,AfD,57,57,57,3.0877,0.0,0.0,0.0
19,0.0,selection,DIE_LINKE,57,57,57,4.0,0.0,0.0,0.0
19,0.25,selection,CDU_CSU,57,57,57,3.5439,0.0526,-0.4211,0.5439
19,0.25,selection,GRUENE,57,57,57,4.3333,-0.0351,-0.4917,0.439
19,0.25,selection,SPD,57,57,57,4.0175,-0.0877,-0.4741,0.3684
19,0.25,selection,AfD,57,57,57,3.2456,0.1579,-0.2465,0.5443
19,0.25,selection,DIE_LINKE,57,57,57,3.9298,-0.0702,-0.5439,0.4561
19,0.5,selection,CDU_CSU,57,57,57,3.5439,0.0526,-0.4211,0.5789
19,0.5,selection,GRUENE,57,57,57,4.2807,-0.0877,-0.6316,0.4211
19,0.5,selection,SPD,57,57,57,4.0526,-0.0526,-0.4737,0.4386
19,0.5,selection,AfD,57,57,57,3.2982,0.2105,-0.2281,0.614
19,0.5,selection,DIE_LINKE,57,57,57,3.8596,-0.1404,-0.5614,0.3684
19,1.0,selection,CDU_CSU,57,57,57,3.4211,-0.0702,-0.5439,0.4386
19,1.0,selection,GRUENE,57,57,57,4.2281,-0.1404,-0.5614,0.3333
19,1.0,selection,SPD,57,57,57,4.0,-0.1053,-0.5088,0.3158
19,1.0,selection,AfD,57,57,57,3.2105,0.1228,-0.2807,0.5263
19,1.0,selection,DIE_LINKE,57,57,57,3.7544,-0.2456,-0.6491,0.2281
19,2.0,selection,CDU_CSU,57,57,57,3.4386,-0.0526,-0.5088,0.4737
19,2.0,selection,GRUENE,57,57,57,4.2281,-0.1404,-0.5614,0.3333
19,2.0,selection,SPD,57,57,57,3.9649,-0.1404,-0.5614,0.2807
19,2.0,selection,AfD,57,57,57,3.1579,0.0702,-0.3333,0.4741
19,2.0,selection,DIE_LINKE,57,57,57,3.7544,-0.2456,-0.6667,0.2632
19,4.0,selection,CDU_CSU,57,57,57,3.2456,-0.2456,-0.7022,0.2632
