layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
0,0.0,selection,CDU_CSU,57,57,57,3.6316,0.0,0.0,0.0
0,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
0,0.0,selection,SPD,57,57,57,4.0877,0.0,0.0,0.0
0,0.0,selection,AfD,57,57,57,3.1754,0.0,0.0,0.0
0,0.0,selection,DIE_LINKE,57,57,57,4.1754,0.0,0.0,0.0
0,0.25,selection,CDU_CSU,57,57,57,3.1579,-0.4737,-0.9474,-0.0697
0,0.25,selection,GRUENE,57,57,57,4.1228,-0.2105,-0.6316,0.1754
0,0.25,selection,SPD,57,57,57,3.8947,-0.193,-0.7193,0.3333
0,0.25,selection,AfD,57,57,57,3.1754,0.0,-0.4386,0.386
0,0.25,selection,DIE_LINKE,57,57,57,4.1053,-0.0702,-0.5614,0.4386
0,0.5,selection,CDU_CSU,57,57,57,3.193,-0.4386,-0.9123,0.0
0,0.5,selection,GRUENE,57,57,57,4.0175,-0.3158,-0.7368,0.1053
0,0.5,selection,SPD,57,57,57,3.807,-0.2807,-0.7719,0.2285
0,0.5,selection,AfD,57,57,57,3.1404,-0.0351,-0.4211,0.3158
0,0.5,selection,DIE_LINKE,57,57,57,3.9123,-0.2632,-0.7544,0.2632
0,1.0,selection,CDU_CSU,57,57,57,3.3509,-0.2807,-0.7197,0.1228
0,1.0,selection,GRUENE,57,57,57,3.9825,-0.3509,-0.7895,0.0702
0,1.0,selection,SPD,57,57,57,3.8246,-0.2632,-0.7719,0.3509
0,1.0,selection,AfD,57,57,57,2.9298,-0.2456,-0.6671,0.1053
0,1.0,selection,DIE_LINKE,57,57,57,3.7895,-0.386,-0.9474,0.1053
0,2.0,selection,CDU_CSU,57,57,57,3.2982,-0.3333,-0.7719,0.0877
0,2.0,selection,GRUENE,57,57,57,4.0526,-0.2807,-0.807,0.2105
0,2.0,selection,SPD,57,57,57,3.8772,-0.2105,-0.7193,0.3513
0,2.0,selection,AfD,57,57,57,2.9825,-0.193,-0.5439,0.1404
0,2.0,selection,DIE_LINKE,57,57,57,3.9649,-0.2105,-0.7022,0.3162
