layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
27,0.0,selection,CDU_CSU,57,57,57,2.2807,0.0,0.0,0.0
27,0.0,selection,GRUENE,57,57,57,1.7193,0.0,0.0,0.0
27,0.0,selection,SPD,57,57,57,1.8421,0.0,0.0,0.0
27,0.0,selection,AfD,57,57,57,2.0526,0.0,0.0,0.0
27,0.0,selection,DIE_LINKE,57,57,57,1.9474,0.0,0.0,0.0
27,0.25,selection,CDU_CSU,57,57,57,2.0,-0.2807,-0.5439,-0.0175
27,0.25,selection,GRUENE,57,57,57,2.2281,0.5088,0.2807,0.7544
27,0.25,selection,SPD,57,57,57,1.9298,0.0877,-0.3158,0.4386
27,0.25,selection,AfD,57,57,57,1.6842,-0.3684,-0.614,-0.0873
27,0.25,selection,DIE_LINKE,57,57,57,2.0702,0.1228,-0.1053,0.386
27,0.5,selection,CDU_CSU,57,57,57,2.0,-0.2807,-0.5439,-0.0175
27,0.5,selection,GRUENE,57,57,57,2.2281,0.5088,0.2807,0.7544
27,0.5,selection,SPD,57,57,57,1.9298,0.0877,-0.3158,0.4386
27,0.5,selection,AfD,57,57,57,1.6842,-0.3684,-0.614,-0.0873
27,0.5,selection,DIE_LINKE,57,57,57,2.0702,0.1228,-0.1053,0.386
27,1.0,selection,CDU_CSU,57,57,57,2.1228,-0.1579,-0.4566,0.1404
27,1.0,selection,GRUENE,57,57,57,2.1754,0.4561,0.2452,0.6842
27,1.0,selection,SPD,57,57,57,1.9474,0.1053,-0.2982,0.4737
27,1.0,selection,AfD,57,57,57,1.7368,-0.3158,-0.5789,-0.0526
27,1.0,selection,DIE_LINKE,57,57,57,2.2281,0.2807,-0.0175,0.6316
27,2.0,selection,CDU_CSU,57,57,57,2.0351,-0.2456,-0.5614,0.0877
27,2.0,selection,GRUENE,57,57,57,2.1404,0.4211,0.2281,0.614
27,2.0,selection,SPD,57,57,57,1.9298,0.0877,-0.3158,0.4561
27,2.0,selection,AfD,57,57,57,1.7895,-0.2632,-0.5439,0.0526
27,2.0,selection,DIE_LINKE,57,57,57,2.2456,0.2982,0.0351,0.6145
27,4.0,selection,CDU_CSU,57,57,57,2.4035,0.1228,-0.386,0.5789
27,4.0,selection,GRUENE,57,57,57,2.7719,1.0526,0.5439,1.6496
27,4.0,selection,SPD,57,57,57,2.4561,0.614,0.0522,1.2105
27,4.0,selection,AfD,57,57,57,1.8947,-0.1579,-0.4561,0.1934
27,4.0,selection,DIE_LINKE,57,57,57,2.4737,0.5263,0.1228,1.0351
27,8.0,selection,CDU_CSU,57,57,57,1.8421,-0.4386,-0.7018,-0.193
27,8.0,selection,GRUENE,57,57,57,2.2807,0.5614,0.2456,0.9127
27,8.0,selection,SPD,57,57,57,2.0526,0.2105,-0.2105,0.6846
27,8.0,selection,AfD,57,57,57,1.6842,-0.3684,-0.614,-0.1228
27,8.0,selection,DIE_LINKE,57,57,57,2.0702,0.1228,-0.1404,0.439
32,0.0,selection,CDU_CSU,57,57,57,2.2807,0.0,0.0,0.0
32,0.0,selection,GRUENE,57,57,57,1.7193,0.0,0.0,0.0
32,0.0,selection,SPD,57,57,57,1.8421,0.0,0.0,0.0
32,0.0,selection,AfD,57,57,57,2.0526,0.0,0.0,0.0
32,0.0,selection,DIE_LINKE,57,57,57,1.9474,0.0,0.0,0.0
32,0.25,selection,CDU_CSU,57,57,57,2.2632,-0.0175,-0.2632,0.2105
32,0.25,selection,GRUENE,57,57,57,2.2281,0.5088,0.2982,0.7193
32,0.25,selection,SPD,57,57,57,1.9474,0.1053,-0.2632,0.4386
