layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
0,0.0,selection,CDU_CSU,57,57,57,2.4737,0.0,0.0,0.0
0,0.0,selection,GRUENE,57,57,57,2.0526,0.0,0.0,0.0
0,0.0,selection,SPD,57,57,57,1.9825,0.0,0.0,0.0
0,0.0,selection,AfD,57,57,57,1.6842,0.0,0.0,0.0
0,0.0,selection,DIE_LINKE,57,57,57,1.9123,0.0,0.0,0.0
0,0.25,selection,CDU_CSU,57,57,57,2.0,-0.4737,-0.9303,-0.0351
0,0.25,selection,GRUENE,57,57,57,1.9298,-0.1228,-0.3158,0.0702
0,0.25,selection,SPD,57,57,57,1.5965,-0.386,-0.614,-0.1579
0,0.25,selection,AfD,57,57,57,1.8596,0.1754,-0.0526,0.5263
0,0.25,selection,DIE_LINKE,57,57,57,1.7719,-0.1404,-0.2982,0.0175
0,0.5,selection,CDU_CSU,57,57,57,2.0,-0.4737,-0.9303,-0.0351
0,0.5,selection,GRUENE,57,57,57,1.9298,-0.1228,-0.3158,0.0702
0,0.5,selection,SPD,57,57,57,1.5965,-0.386,-0.614,-0.1579
0,0.5,selection,AfD,57,57,57,1.8596,0.1754,-0.0526,0.5263
0,0.5,selection,DIE_LINKE,57,57,57,1.7719,-0.1404,-0.2982,0.0175
0,1.0,selection,CDU_CSU,57,57,57,1.8947,-0.5789,-1.0702,-0.1754
0,1.0,selection,GRUENE,57,57,57,1.9649,-0.0877,-0.2456,0.0877
0,1.0,selection,SPD,57,57,57,1.6491,-0.3333,-0.5614,-0.1228
0,1.0,selection,AfD,57,57,57,1.7719,0.0877,-0.193,0.4035
0,1.0,selection,DIE_LINKE,57,57,57,1.7895,-0.1228,-0.2982,0.0702
0,2.0,selection,CDU_CSU,57,57,57,1.8947,-0.5789,-1.0702,-0.1754
0,2.0,selection,GRUENE,57,57,57,1.9649,-0.0877,-0.2456,0.0877
0,2.0,selection,SPD,57,57,57,1.6491,-0.3333,-0.5614,-0.1228
0,2.0,selection,AfD,57,57,57,1.7719,0.0877,-0.193,0.4035
0,2.0,selection,DIE_LINKE,57,57,57,1.7895,-0.1228,-0.2982,0.0702
0,4.0,selection,CDU_CSU,57,57,57,1.9123,-0.5614,-1.0526,-0.1053
0,4.0,selection,GRUENE,57,57,57,1.9825,-0.0702,-0.2456,0.0877
0,4.0,selection,SPD,57,57,57,1.6316,-0.3509,-0.5439,-0.1579
0,4.0,selection,AfD,57,57,57,1.7193,0.0351,-0.2105,0.2987
0,4.0,selection,DIE_LINKE,57,57,57,1.8596,-0.0526,-0.2281,0.1228
0,8.0,selection,CDU_CSU,57,57,57,1.9123,-0.5614,-1.0526,-0.1053
0,8.0,selection,GRUENE,57,57,57,1.9474,-0.1053,-0.2632,0.0526
0,8.0,selection,SPD,57,57,57,1.6316,-0.3509,-0.5439,-0.1579
0,8.0,selection,AfD,57,57,57,1.7193,0.0351,-0.2105,0.2987
0,8.0,selection,DIE_LINKE,57,57,57,1.8596,-0.0526,-0.2281,0.1228
10,0.0,selection,CDU_CSU,57,57,57,2.4737,0.0,0.0,0.0
10,0.0,selection,GRUENE,57,57,57,2.0526,0.0,0.0,0.0
10,0.0,selection,SPD,57,57,57,1.9825,0.0,0.0,0.0
10,0.0,selection,AfD,57,57,57,1.6842,0.0,0.0,0.0
