layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
24,0.0,selection,CDU_CSU,57,57,57,1.9474,0.0,0.0,0.0
24,0.0,selection,GRUENE,57,57,57,2.0175,0.0,0.0,0.0
24,0.0,selection,SPD,57,57,57,2.1579,0.0,0.0,0.0
24,0.0,selection,AfD,57,57,57,2.0,0.0,0.0,0.0
24,0.0,selection,DIE_LINKE,57,57,57,1.6316,0.0,0.0,0.0
24,0.25,selection,CDU_CSU,57,57,57,1.8947,-0.0526,-0.3509,0.2456
24,0.25,selection,GRUENE,57,57,57,1.8947,-0.1228,-0.3158,0.0702
24,0.25,selection,SPD,57,57,57,1.8421,-0.3158,-0.5789,-0.0526
24,0.25,selection,AfD,57,57,57,1.7719,-0.2281,-0.4737,0.0175
24,0.25,selection,DIE_LINKE,57,57,57,1.8596,0.2281,-0.0175,0.4561
24,0.5,selection,CDU_CSU,57,57,57,1.807,-0.1404,-0.4035,0.1228
24,0.5,selection,GRUENE,57,57,57,1.9123,-0.1053,-0.3333,0.0882
24,0.5,selection,SPD,57,57,57,1.7368,-0.4211,-0.6842,-0.1404
24,0.5,selection,AfD,57,57,57,1.7895,-0.2105,-0.4386,0.0
24,0.5,selection,DIE_LINKE,57,57,57,1.7895,0.1579,-0.0526,0.4035
24,1.0,selection,CDU_CSU,57,57,57,1.7544,-0.193,-0.4561,0.0526
24,1.0,selection,GRUENE,57,57,57,1.9123,-0.1053,-0.2811,0.0702
24,1.0,selection,SPD,57,57,57,1.7193,-0.4386,-0.6842,-0.2105
24,1.0,selection,AfD,57,57,57,1.7719,-0.2281,-0.4561,0.0
24,1.0,selection,DIE_LINKE,57,57,57,1.807,0.1754,-0.018,0.386
24,2.0,selection,CDU_CSU,57,57,57,1.7368,-0.2105,-0.5088,0.0702
24,2.0,selection,GRUENE,57,57,57,1.8947,-0.1228,-0.3333,0.0702
24,2.0,selection,SPD,57,57,57,1.7193,-0.4386,-0.6667,-0.2281
24,2.0,selection,AfD,57,57,57,1.8421,-0.1579,-0.3684,0.0526
24,2.0,selection,DIE_LINKE,57,57,57,1.7544,0.1228,-0.0877,0.3333
24,4.0,selection,CDU_CSU,57,57,57,1.8596,-0.0877,-0.3333,0.1579
24,4.0,selection,GRUENE,57,57,57,1.9298,-0.0877,-0.2982,0.1053
24,4.0,selection,SPD,57,57,57,1.807,-0.3509,-0.5965,-0.1404
24,4.0,selection,AfD,57,57,57,1.7544,-0.2456,-0.4561,-0.0351
24,4.0,selection,DIE_LINKE,57,57,57,1.8947,0.2632,0.0346,0.5268
