layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
23,0.0,selection,CDU_CSU,57,57,57,2.1404,0.0,0.0,0.0
23,0.0,selection,GRUENE,57,57,57,1.9474,0.0,0.0,0.0
23,0.0,selection,SPD,57,57,57,2.0,0.0,0.0,0.0
23,0.0,selection,AfD,57,57,57,2.0526,0.0,0.0,0.0
23,0.0,selection,DIE_LINKE,57,57,57,1.8421,0.0,0.0,0.0
23,0.25,selection,CDU_CSU,57,57,57,1.8596,-0.2807,-0.5965,0.0175
23,0.25,selection,GRUENE,57,57,57,1.8596,-0.0877,-0.2982,0.1408
23,0.25,selection,SPD,57,57,57,1.807,-0.193,-0.386,0.0351
23,0.25,selection,AfD,57,57,57,1.7719,-0.2807,-0.5618,0.0175
23,0.25,selection,DIE_LINKE,57,57,57,1.807,-0.0351,-0.3333,0.2105
23,0.5,selection,CDU_CSU,57,57,57,1.8596,-0.2807,-0.5965,0.0175
23,0.5,selection,GRUENE,57,57,57,1.8596,-0.0877,-0.2982,0.1408
23,0.5,selection,SPD,57,57,57,1.807,-0.193,-0.386,0.0351
23,0.5,selection,AfD,57,57,57,1.7719,-0.2807,-0.5618,0.0175
23,0.5,selection,DIE_LINKE,57,57,57,1.807,-0.0351,-0.3333,0.2105
23,1.0,selection,CDU_CSU,57,57,57,1.8772,-0.2632,-0.5789,0.0351
23,1.0,selection,GRUENE,57,57,57,1.8421,-0.1053,-0.3333,0.1404
23,1.0,selection,SPD,57,57,57,1.7018,-0.2982,-0.4912,-0.1228
23,1.0,selection,AfD,57,57,57,1.614,-0.4386,-0.7368,-0.1579
23,1.0,selection,DIE_LINKE,57,57,57,1.8246,-0.0175,-0.2807,0.2456
23,2.0,selection,CDU_CSU,57,57,57,1.8772,-0.2632,-0.5789,0.0351
23,2.0,selection,GRUENE,57,57,57,1.8421,-0.1053,-0.3333,0.1404
23,2.0,selection,SPD,57,57,57,1.7018,-0.2982,-0.4912,-0.1228
23,2.0,selection,AfD,57,57,57,1.614,-0.4386,-0.7368,-0.1579
23,2.0,selection,DIE_LINKE,57,57,57,1.8246,-0.0175,-0.2807,0.2456
23,4.0,selection,CDU_CSU,57,57,57,1.8772,-0.2632,-0.5969,0.0351
23,4.0,selection,GRUENE,57,57,57,1.8246,-0.1228,-0.3333,0.0877
23,4.0,selection,SPD,57,57,57,1.7719,-0.2281,-0.4035,-0.0702
23,4.0,selection,AfD,57,57,57,1.6491,-0.4035,-0.6842,-0.1399
23,4.0,selection,DIE_LINKE,57,57,57,1.8596,0.0175,-0.2632,0.2456
