layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
16,0.0,selection,CDU_CSU,57,57,57,2.3509,0.0,0.0,0.0
16,0.0,selection,GRUENE,57,57,57,2.2632,0.0,0.0,0.0
16,0.0,selection,SPD,57,57,57,2.1053,0.0,0.0,0.0
16,0.0,selection,AfD,57,57,57,1.8421,0.0,0.0,0.0
16,0.0,selection,DIE_LINKE,57,57,57,1.9825,0.0,0.0,0.0
16,0.25,selection,CDU_CSU,57,57,57,1.9649,-0.386,-0.7719,-0.0526
16,0.25,selection,GRUENE,57,57,57,2.0351,-0.2281,-0.5789,0.0882
16,0.25,selection,SPD,57,57,57,1.9474,-0.1579,-0.3689,0.0702
16,0.25,selection,AfD,57,57,57,2.0526,0.2105,-0.1053,0.5439
16,0.25,selection,DIE_LINKE,57,57,57,1.8596,-0.1228,-0.3509,0.1228
16,0.5,selection,CDU_CSU,57,57,57,1.9649,-0.386,-0.7719,-0.0526
16,0.5,selection,GRUENE,57,57,57,2.0351,-0.2281,-0.5789,0.0882
16,0.5,selection,SPD,57,57,57,1.9474,-0.1579,-0.3689,0.0702
16,0.5,selection,AfD,57,57,57,2.0526,0.2105,-0.1053,0.5439
16,0.5,selection,DIE_LINKE,57,57,57,1.8596,-0.1228,-0.3509,0.1228
16,1.0,selection,CDU_CSU,57,57,57,2.0175,-0.3333,-0.7368,0.0175
16,1.0,selection,GRUENE,57,57,57,2.0526,-0.2105,-0.5263,0.1228
16,1.0,selection,SPD,57,57,57,1.8772,-0.2281,-0.4211,-0.0175
16,1.0,selection,AfD,57,57,57,1.9825,0.1404,-0.1404,0.4561
16,1.0,selection,DIE_LINKE,57,57,57,1.7895,-0.193,-0.386,0.0175
16,2.0,selection,CDU_CSU,57,57,57,2.0175,-0.3333,-0.7368,0.0175
16,2.0,selection,GRUENE,57,57,57,2.0526,-0.2105,-0.5263,0.1228
16,2.0,selection,SPD,57,57,57,1.8772,-0.2281,-0.4211,-0.0175
16,2.0,selection,AfD,57,57,57,1.9825,0.1404,-0.1404,0.4561
16,2.0,selection,DIE_LINKE,57,57,57,1.7895,-0.193,-0.386,0.0175
16,4.0,selection,CDU_CSU,57,57,57,1.9474,-0.4035,-0.807,-0.0526
16,4.0,selection,GRUENE,57,57,57,1.9825,-0.2807,-0.5794,0.0355
16,4.0,selection,SPD,57,57,57,1.8596,-0.2456,-0.4561,-0.0522
16,4.0,selection,AfD,57,57,57,1.9123,0.0702,-0.1754,0.3509
16,4.0,selection,DIE_LINKE,57,57,57,1.8772,-0.1053,-0.2811,0.0877
16,8.0,selection,CDU_CSU,57,57,57,1.9649,-0.386,-0.7899,-0.0175
16,8.0,selection,GRUENE,57,57,57,1.9825,-0.2807,-0.5794,0.0355
16,8.0,selection,SPD,57,57,57,1.8596,-0.2456,-0.4561,-0.0522
16,8.0,selection,AfD,57,57,57,1.9474,0.1053,-0.1404,0.4035
16,8.0,selection,DIE_LINKE,57,57,57,1.8772,-0.1053,-0.2811,0.0877
24,0.0,selection,CDU_CSU,57,57,57,2.3509,0.0,0.0,0.0
24,0.0,selection,GRUENE,57,57,57,2.2632,0.0,0.0,0.0
24,0.0,selection,SPD,57,57,57,2.1053,0.0,0.0,0.0
24,0.0,selection,AfD,57,57,57,1.8421,0.0,0.0,0.0
24,0.0,selection,DIE_LINKE,57,57,57,1.9825,0.0,0.0,0.0
24,0.25,selection,CDU_CSU,57,57,57,2.0175,-0.3333,-0.7544,0.0175
24,0.25,selection,GRUENE,57,57,57,1.807,-0.4561,-0.8246,-0.1228
24,0.25,selection,SPD,57,57,57,1.8772,-0.2281,-0.439,0.0351
24,0.25,selection,AfD,57,57,57,1.807,-0.0351,-0.2807,0.2105
24,0.25,selection,DIE_LINKE,57,57,57,1.7193,-0.2632,-0.4561,-0.0175
24,0.5,selection,CDU_CSU,57,57,57,2.0175,-0.3333,-0.7544,0.0175
24,0.5,selection,GRUENE,57,57,57,1.807,-0.4561,-0.8246,-0.1228
24,0.5,selection,SPD,57,57,57,1.8772,-0.2281,-0.439,0.0351
24,0.5,selection,AfD,57,57,57,1.807,-0.0351,-0.2807,0.2105
24,0.5,selection,DIE_LINKE,57,57,57,1.7193,-0.2632,-0.4561,-0.0175
24,1.0,selection,CDU_CSU,57,57,57,1.9825,-0.3684,-0.807,0.0
24,1.0,selection,GRUENE,57,57,57,1.7544,-0.5088,-0.8596,-0.193
24,1.0,selection,SPD,57,57,57,1.7368,-0.3684,-0.5789,-0.1404
24,1.0,selection,AfD,57,57,57,1.6842,-0.1579,-0.3689,0.0706
24,1.0,selection,DIE_LINKE,57,57,57,1.6491,-0.3333,-0.5092,-0.1228
24,2.0,selection,CDU_CSU,57,57,57,1.9825,-0.3684,-0.807,0.0
24,2.0,selection,GRUENE,57,57,57,1.7544,-0.5088,-0.8596,-0.193
24,2.0,selection,SPD,57,57,57,1.7368,-0.3684,-0.5789,-0.1404
24,2.0,selection,AfD,57,57,57,1.6842,-0.1579,-0.3689,0.0706
24,2.0,selection,DIE_LINKE,57,57,57,1.6491,-0.3333,-0.5092,-0.1228
24,4.0,selection,CDU_CSU,57,57,57,2.0526,-0.2982,-0.7544,0.0702
24,4.0,selection,GRUENE,57,57,57,1.8246,-0.4386,-0.7719,-0.1228
24,4.0,selection,SPD,57,57,57,1.7368,-0.3684,-0.5439,-0.193
24,4.0,selection,AfD,57,57,57,1.6842,-0.1579,-0.3513,0.0355
24,4.0,selection,DIE_LINKE,57,57,57,1.6842,-0.2982,-0.4737,-0.1053
24,8.0,selection,CDU_CSU,57,57,57,2.0526,-0.2982,-0.7544,0.0702
24,8.0,selection,GRUENE,57,57,57,1.8246,-0.4386,-0.7719,-0.1228
24,8.0,selection,SPD,57,57,57,1.7368,-0.3684,-0.5439,-0.193
24,8.0,selection,AfD,57,57,57,1.6842,-0.1579,-0.3513,0.0355
24,8.0,selection,DIE_LINKE,57,57,57,1.6842,-0.2982,-0.4737,-0.1053
25,0.0,selection,CDU_CSU,57,57,57,2.3509,0.0,0.0,0.0
25,0.0,selection,GRUENE,57,57,57,2.2632,0.0,0.0,0.0
25,0.0,selection,SPD,57,57,57,2.1053,0.0,0.0,0.0
25,0.0,selection,AfD,57,57,57,1.8421,0.0,0.0,0.0
25,0.0,selection,DIE_LINKE,57,57,57,1.9825,0.0,0.0,0.0
25,0.25,selection,CDU_CSU,57,57,57,1.9825,-0.3684,-0.7193,-0.0702
25,0.25,selection,GRUENE,57,57,57,1.7895,-0.4737,-0.8075,-0.1754
25,0.25,selection,SPD,57,57,57,1.9298,-0.1754,-0.3684,0.0175
25,0.25,selection,AfD,57,57,57,1.8772,0.0351,-0.1754,0.2456
25,0.25,selection,DIE_LINKE,57,57,57,1.807,-0.1754,-0.386,0.0
25,0.5,selection,CDU_CSU,57,57,57,1.9825,-0.3684,-0.7193,-0.0697
25,0.5,selection,GRUENE,57,57,57,1.7895,-0.4737,-0.7544,-0.2276
25,0.5,selection,SPD,57,57,57,1.9123,-0.193,-0.4035,0.0175
25,0.5,selection,AfD,57,57,57,1.9649,0.1228,-0.0877,0.3509
25,0.5,selection,DIE_LINKE,57,57,57,1.9298,-0.0526,-0.2632,0.1404
25,1.0,selection,CDU_CSU,57,57,57,1.8772,-0.4737,-0.8246,-0.2281
25,1.0,selection,GRUENE,57,57,57,1.8947,-0.3684,-0.6842,-0.0877
25,1.0,selection,SPD,57,57,57,1.8421,-0.2632,-0.4211,-0.0877
25,1.0,selection,AfD,57,57,57,1.9298,0.0877,-0.1228,0.3333
25,1.0,selection,DIE_LINKE,57,57,57,1.807,-0.1754,-0.3509,0.0
25,2.0,selection,CDU_CSU,57,57,57,1.8246,-0.5263,-0.9298,-0.2456
25,2.0,selection,GRUENE,57,57,57,1.8596,-0.4035,-0.7368,-0.1228
25,2.0,selection,SPD,57,57,57,1.9123,-0.193,-0.3513,-0.0175
25,2.0,selection,AfD,57,57,57,1.8772,0.0351,-0.193,0.2807
25,2.0,selection,DIE_LINKE,57,57,57,1.7895,-0.193,-0.3684,-0.0351
25,4.0,selection,CDU_CSU,57,57,57,1.8246,-0.5263,-0.8776,-0.2632
25,4.0,selection,GRUENE,57,57,57,1.7193,-0.5439,-0.8246,-0.2807
25,4.0,selection,SPD,57,57,57,1.9474,-0.1579,-0.2811,-0.0175
25,4.0,selection,AfD,57,57,57,1.8772,0.0351,-0.1404,0.2456
25,4.0,selection,DIE_LINKE,57,57,57,1.8421,-0.1404,-0.2982,0.0351
25,8.0,selection,CDU_CSU,57,57,57,1.8246,-0.5263,-0.8952,-0.2627
25,8.0,selection,GRUENE,57,57,57,1.7193,-0.5439,-0.8246,-0.2982
25,8.0,selection,SPD,57,57,57,2.0,-0.1053,-0.2281,0.0
25,8.0,selection,AfD,57,57,57,1.8421,0.0,-0.1759,0.2105
25,8.0,selection,DIE_LINKE,57,57,57,1.7544,-0.2281,-0.3684,-0.0351
