layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
0,0.0,selection,CDU_CSU,57,57,57,3.4561,0.0,0.0,0.0
0,0.0,selection,GRUENE,57,57,57,3.7544,0.0,0.0,0.0
0,0.0,selection,SPD,57,57,57,3.386,0.0,0.0,0.0
0,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
0,0.0,selection,DIE_LINKE,57,57,57,3.5088,0.0,0.0,0.0
0,0.25,selection,CDU_CSU,57,57,57,2.7018,-0.7544,-1.2281,-0.3158
0,0.25,selection,GRUENE,57,57,57,3.2281,-0.5263,-0.9649,-0.1053
0,0.25,selection,SPD,57,57,57,3.1579,-0.2281,-0.614,0.193
0,0.25,selection,AfD,57,57,57,3.2105,-0.4035,-0.8947,0.0877
0,0.25,selection,DIE_LINKE,57,57,57,3.5439,0.0351,-0.3684,0.4561
0,0.5,selection,CDU_CSU,57,57,57,2.7018,-0.7544,-1.2281,-0.3158
0,0.5,selection,GRUENE,57,57,57,3.2807,-0.4737,-0.9123,-0.0702
0,0.5,selection,SPD,57,57,57,3.1754,-0.2105,-0.6145,0.2105
0,0.5,selection,AfD,57,57,57,3.2982,-0.3158,-0.8246,0.1754
0,0.5,selection,DIE_LINKE,57,57,57,3.5614,0.0526,-0.2636,0.4561
0,1.0,selection,CDU_CSU,57,57,57,2.6491,-0.807,-1.3162,-0.2456
0,1.0,selection,GRUENE,57,57,57,3.2456,-0.5088,-1.0175,-0.0175
0,1.0,selection,SPD,57,57,57,3.0702,-0.3158,-0.7548,0.2105
0,1.0,selection,AfD,57,57,57,3.1754,-0.4386,-0.8772,0.0
0,1.0,selection,DIE_LINKE,57,57,57,3.193,-0.3158,-0.7544,0.1583
0,2.0,selection,CDU_CSU,57,57,57,2.4737,-0.9825,-1.4737,-0.5614
0,2.0,selection,GRUENE,57,57,57,3.1754,-0.5789,-1.0526,-0.1404
0,2.0,selection,SPD,57,57,57,2.9123,-0.4737,-0.8246,-0.0702
0,2.0,selection,AfD,57,57,57,3.0,-0.614,-1.1057,-0.1053
0,2.0,selection,DIE_LINKE,57,57,57,3.1579,-0.3509,-0.7373,0.0355
0,4.0,selection,CDU_CSU,57,57,57,2.4737,-0.9825,-1.4561,-0.5614
0,4.0,selection,GRUENE,57,57,57,3.1404,-0.614,-1.0351,-0.193
0,4.0,selection,SPD,57,57,57,2.9474,-0.4386,-0.7899,-0.1048
0,4.0,selection,AfD,57,57,57,2.8421,-0.7719,-1.1754,-0.3684
0,4.0,selection,DIE_LINKE,57,57,57,3.1754,-0.3333,-0.6667,-0.0346
0,8.0,selection,CDU_CSU,57,57,57,2.5965,-0.8596,-1.386,-0.3333
0,8.0,selection,GRUENE,57,57,57,3.2632,-0.4912,-0.9654,0.0526
0,8.0,selection,SPD,57,57,57,3.0175,-0.3684,-0.7724,0.1404
0,8.0,selection,AfD,57,57,57,2.8947,-0.7193,-1.1404,-0.2456
0,8.0,selection,DIE_LINKE,57,57,57,3.3333,-0.1754,-0.6491,0.3158
3,0.0,selection,CDU_CSU,57,57,57,3.4561,0.0,0.0,0.0
3,0.0,selection,GRUENE,57,57,57,3.7544,0.0,0.0,0.0
3,0.0,selection,SPD,57,57,57,3.386,0.0,0.0,0.0
3,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
3,0.0,selection,DIE_LINKE,57,57,57,3.5088,0.0,0.0,0.0
3,0.25,selection,CDU_CSU,57,57,57,3.0702,-0.386,-0.7368,-0.0702
3,0.25,selection,GRUENE,57,57,57,3.1404,-0.614,-1.0526,-0.2456
3,0.25,selection,SPD,57,57,57,3.1579,-0.2281,-0.614,0.1404
3,0.25,selection,AfD,57,57,57,3.0702,-0.5439,-0.9474,-0.1228
3,0.25,selection,DIE_LINKE,57,57,57,3.2105,-0.2982,-0.7719,0.1404
3,0.5,selection,CDU_CSU,57,57,57,3.1053,-0.3509,-0.9474,0.211
3,0.5,selection,GRUENE,57,57,57,3.2281,-0.5263,-0.8947,-0.1579
3,0.5,selection,SPD,57,57,57,3.1579,-0.2281,-0.5965,0.2105
3,0.5,selection,AfD,57,57,57,3.1579,-0.4561,-0.8772,-0.0175
3,0.5,selection,DIE_LINKE,57,57,57,3.4912,-0.0175,-0.4386,0.4386
3,1.0,selection,CDU_CSU,57,57,57,2.9298,-0.5263,-0.9825,-0.0526
3,1.0,selection,GRUENE,57,57,57,3.1754,-0.5789,-0.8952,-0.3158
3,1.0,selection,SPD,57,57,57,3.0175,-0.3684,-0.6667,-0.0351
3,1.0,selection,AfD,57,57,57,3.0526,-0.5614,-0.9649,-0.1925
3,1.0,selection,DIE_LINKE,57,57,57,3.0702,-0.4386,-0.8772,-0.0522
3,2.0,selection,CDU_CSU,57,57,57,3.1228,-0.3333,-0.8075,0.1579
3,2.0,selection,GRUENE,57,57,57,3.3509,-0.4035,-0.807,0.0351
3,2.0,selection,SPD,57,57,57,3.0877,-0.2982,-0.7018,0.1759
3,2.0,selection,AfD,57,57,57,3.1404,-0.4737,-1.0175,0.0004
3,2.0,selection,DIE_LINKE,57,57,57,3.2105,-0.2982,-0.6667,0.1057
3,4.0,selection,CDU_CSU,57,57,57,2.8596,-0.5965,-1.0877,-0.193
3,4.0,selection,GRUENE,57,57,57,3.0877,-0.6667,-1.0702,-0.3158
3,4.0,selection,SPD,57,57,57,3.0702,-0.3158,-0.7193,0.1228
3,4.0,selection,AfD,57,57,57,2.8947,-0.7193,-1.2461,-0.1579
3,4.0,selection,DIE_LINKE,57,57,57,2.8421,-0.6667,-1.1579,-0.2105
3,8.0,selection,CDU_CSU,57,57,57,2.5263,-0.9298,-1.4215,-0.4737
3,8.0,selection,GRUENE,57,57,57,3.0877,-0.6667,-1.0702,-0.3158
3,8.0,selection,SPD,57,57,57,3.0,-0.386,-0.807,0.0351
3,8.0,selection,AfD,57,57,57,2.807,-0.807,-1.3513,-0.2627
3,8.0,selection,DIE_LINKE,57,57,57,2.8947,-0.614,-1.1404,-0.1404
7,0.0,selection,CDU_CSU,57,57,57,3.4561,0.0,0.0,0.0
7,0.0,selection,GRUENE,57,57,57,3.7544,0.0,0.0,0.0
7,0.0,selection,SPD,57,57,57,3.386,0.0,0.0,0.0
7,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
7,0.0,selection,DIE_LINKE,57,57,57,3.5088,0.0,0.0,0.0
7,0.25,selection,CDU_CSU,57,57,57,2.8947,-0.5614,-1.0351,-0.0526
7,0.25,selection,GRUENE,57,57,57,3.4912,-0.2632,-0.7018,0.1934
7,0.25,selection,SPD,57,57,57,3.2105,-0.1754,-0.5789,0.2807
7,0.25,selection,AfD,57,57,57,2.7544,-0.8596,-1.2461,-0.4561
7,0.25,selection,DIE_LINKE,57,57,57,3.5965,0.0877,-0.386,0.5965
7,0.5,selection,CDU_CSU,57,57,57,2.9649,-0.4912,-0.9474,0.0004
7,0.5,selection,GRUENE,57,57,57,3.4561,-0.2982,-0.7368,0.1754
7,0.5,selection,SPD,57,57,57,3.2281,-0.1579,-0.5614,0.3158
7,0.5,selection,AfD,57,57,57,2.7719,-0.8421,-1.2807,-0.4031
7,0.5,selection,DIE_LINKE,57,57,57,3.5439,0.0351,-0.4211,0.5263
7,1.0,selection,CDU_CSU,57,57,57,2.7368,-0.7193,-1.193,-0.193
7,1.0,selection,GRUENE,57,57,57,3.1404,-0.614,-1.1404,-0.0873
7,1.0,selection,SPD,57,57,57,2.9474,-0.4386,-0.8596,0.0526
7,1.0,selection,AfD,57,57,57,2.7544,-0.8596,-1.2982,-0.4211
7,1.0,selection,DIE_LINKE,57,57,57,3.4386,-0.0702,-0.5614,0.439
7,2.0,selection,CDU_CSU,57,57,57,2.7368,-0.7193,-1.193,-0.2105
7,2.0,selection,GRUENE,57,57,57,3.193,-0.5614,-1.0702,-0.0526
7,2.0,selection,SPD,57,57,57,3.0175,-0.3684,-0.8421,0.1412
7,2.0,selection,AfD,57,57,57,2.7895,-0.8246,-1.3158,-0.368
7,2.0,selection,DIE_LINKE,57,57,57,3.4211,-0.0877,-0.6491,0.4737
7,4.0,selection,CDU_CSU,57,57,57,2.5614,-0.8947,-1.4912,-0.3333
7,4.0,selection,GRUENE,57,57,57,2.8947,-0.8596,-1.4566,-0.2803
7,4.0,selection,SPD,57,57,57,2.9298,-0.4561,-1.0351,0.0877
7,4.0,selection,AfD,57,57,57,2.5088,-1.1053,-1.7193,-0.5439
7,4.0,selection,DIE_LINKE,57,57,57,2.9123,-0.5965,-1.2807,0.0877
7,8.0,selection,CDU_CSU,57,57,57,2.6491,-0.807,-1.4386,-0.2456
7,8.0,selection,GRUENE,57,57,57,2.8772,-0.8772,-1.5263,-0.2632
7,8.0,selection,SPD,57,57,57,2.9123,-0.4737,-1.0526,0.1228
7,8.0,selection,AfD,57,57,57,2.5614,-1.0526,-1.6842,-0.4737
7,8.0,selection,DIE_LINKE,57,57,57,2.8772,-0.6316,-1.2987,0.0877
