layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
13,0.0,selection,CDU_CSU,57,57,57,4.0526,0.0,0.0,0.0
13,0.0,selection,GRUENE,57,57,57,4.193,0.0,0.0,0.0
13,0.0,selection,SPD,57,57,57,4.1579,0.0,0.0,0.0
13,0.0,selection,AfD,57,57,57,4.0351,0.0,0.0,0.0
13,0.0,selection,DIE_LINKE,57,57,57,4.2281,0.0,0.0,0.0
13,0.25,selection,CDU_CSU,57,57,57,3.4035,-0.6491,-1.0706,-0.2982
13,0.25,selection,GRUENE,57,57,57,3.9474,-0.2456,-0.7193,0.2456
13,0.25,selection,SPD,57,57,57,4.0526,-0.1053,-0.5092,0.386
13,0.25,selection,AfD,57,57,57,3.5439,-0.4912,-1.0351,0.0702
13,0.25,selection,DIE_LINKE,57,57,57,3.7895,-0.4386,-0.8246,-0.0351
13,0.5,selection,CDU_CSU,57,57,57,3.4035,-0.6491,-1.0706,-0.2982
13,0.5,selection,GRUENE,57,57,57,3.7193,-0.4737,-0.9123,-0.0171
13,0.5,selection,SPD,57,57,57,4.0702,-0.0877,-0.5088,0.3333
13,0.5,selection,AfD,57,57,57,3.4737,-0.5614,-1.1579,0.0
13,0.5,selection,DIE_LINKE,57,57,57,3.8596,-0.3684,-0.6842,-0.0526
13,1.0,selection,CDU_CSU,57,57,57,3.3509,-0.7018,-1.1228,-0.2978
13,1.0,selection,GRUENE,57,57,57,3.7544,-0.4386,-0.9654,0.0702
13,1.0,selection,SPD,57,57,57,3.8772,-0.2807,-0.6671,0.1404
13,1.0,selection,AfD,57,57,57,3.4211,-0.614,-1.1754,-0.1575
13,1.0,selection,DIE_LINKE,57,57,57,4.0702,-0.1579,-0.632,0.3158
13,2.0,selection,CDU_CSU,57,57,57,3.2281,-0.8246,-1.2105,-0.4211
13,2.0,selection,GRUENE,57,57,57,3.6316,-0.5614,-1.1053,-0.0175
13,2.0,selection,SPD,57,57,57,3.6316,-0.5263,-1.0531,0.018
13,2.0,selection,AfD,57,57,57,3.1754,-0.8596,-1.4211,-0.4035
13,2.0,selection,DIE_LINKE,57,57,57,3.8246,-0.4035,-0.8776,0.0531
13,4.0,selection,CDU_CSU,57,57,57,3.193,-0.8596,-1.2982,-0.4031
