layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
13,0.0,selection,CDU_CSU,57,57,57,4.1053,0.0,0.0,0.0
13,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
13,0.0,selection,SPD,57,57,57,4.1579,0.0,0.0,0.0
13,0.0,selection,AfD,57,57,57,3.9649,0.0,0.0,0.0
13,0.0,selection,DIE_LINKE,57,57,57,4.1404,0.0,0.0,0.0
13,0.25,selection,CDU_CSU,57,57,57,3.3509,-0.7544,-1.211,-0.386
13,0.25,selection,GRUENE,57,57,57,3.9649,-0.3684,-0.7719,-0.0175
13,0.25,selection,SPD,57,57,57,3.7719,-0.386,-0.9123,0.1408
13,0.25,selection,AfD,57,57,57,3.2281,-0.7368,-1.2285,-0.2452
13,0.25,selection,DIE_LINKE,57,57,57,3.7895,-0.3509,-0.7544,-0.0175
13,0.5,selection,CDU_CSU,57,57,57,3.3333,-0.7719,-1.2281,-0.4035
13,0.5,selection,GRUENE,57,57,57,3.9825,-0.3509,-0.7197,-0.0175
13,0.5,selection,SPD,57,57,57,3.8772,-0.2807,-0.7018,0.2281
13,0.5,selection,AfD,57,57,57,3.2456,-0.7193,-1.211,-0.2452
13,0.5,selection,DIE_LINKE,57,57,57,3.8246,-0.3158,-0.6842,-0.0351
13,1.0,selection,CDU_CSU,57,57,57,3.2456,-0.8596,-1.3333,-0.4382
13,1.0,selection,GRUENE,57,57,57,3.7719,-0.5614,-0.9649,-0.2281
13,1.0,selection,SPD,57,57,57,3.7018,-0.4561,-0.9123,0.0351
13,1.0,selection,AfD,57,57,57,3.1754,-0.7895,-1.3333,-0.2982
13,1.0,selection,DIE_LINKE,57,57,57,3.6316,-0.5088,-0.9482,-0.1579
13,2.0,selection,CDU_CSU,57,57,57,3.3333,-0.7719,-1.2281,-0.3509
13,2.0,selection,GRUENE,57,57,57,3.7018,-0.6316,-1.0351,-0.2982
13,2.0,selection,SPD,57,57,57,3.6667,-0.4912,-0.9474,0.0
13,2.0,selection,AfD,57,57,57,3.2105,-0.7544,-1.3162,-0.2632
13,2.0,selection,DIE_LINKE,57,57,57,3.5789,-0.5614,-1.0,-0.193
13,4.0,selection,CDU_CSU,57,57,57,3.4912,-0.614,-1.0351,-0.2105
13,4.0,selection,GRUENE,57,57,57,3.614,-0.7193,-1.2281,-0.3158
13,4.0,selection,SPD,57,57,57,3.614,-0.5439,-0.9649,-0.0877
13,4.0,selection,AfD,57,57,57,3.193,-0.7719,-1.2807,-0.3333
13,4.0,selection,DIE_LINKE,57,57,57,3.5088,-0.6316,-1.0706,-0.2452
13,8.0,selection,CDU_CSU,57,57,57,3.4386,-0.6667,-1.2807,-0.0877
13,8.0,selection,GRUENE,57,57,57,3.5439,-0.7895,-1.3684,-0.2276
13,8.0,selection,SPD,57,57,57,3.4912,-0.6667,-1.1759,-0.0346
13,8.0,selection,AfD,57,57,57,3.0526,-0.9123,-1.4386,-0.3329
13,8.0,selection,DIE_LINKE,57,57,57,3.5614,-0.5789,-1.1939,0.1053
14,0.0,selection,CDU_CSU,57,57,57,4.1053,0.0,0.0,0.0
14,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
14,0.0,selection,SPD,57,57,57,4.1579,0.0,0.0,0.0
14,0.0,selection,AfD,57,57,57,3.9649,0.0,0.0,0.0
14,0.0,selection,DIE_LINKE,57,57,57,4.1404,0.0,0.0,0.0
14,0.25,selection,CDU_CSU,57,57,57,3.7544,-0.3509,-0.6671,-0.0351
14,0.25,selection,GRUENE,57,57,57,3.7193,-0.614,-0.9649,-0.2632
14,0.25,selection,SPD,57,57,57,3.7719,-0.386,-0.8421,0.0877
14,0.25,selection,AfD,57,57,57,3.2982,-0.6667,-1.2105,-0.2105
14,0.25,selection,DIE_LINKE,57,57,57,3.7018,-0.4386,-0.8772,-0.0702
14,0.5,selection,CDU_CSU,57,57,57,3.7193,-0.386,-0.7368,-0.0526
14,0.5,selection,GRUENE,57,57,57,3.8772,-0.4561,-0.8596,-0.0175
14,0.5,selection,SPD,57,57,57,3.8596,-0.2982,-0.8254,0.2982
14,0.5,selection,AfD,57,57,57,3.2632,-0.7018,-1.1754,-0.2456
14,0.5,selection,DIE_LINKE,57,57,57,3.8596,-0.2807,-0.7193,0.1228
14,1.0,selection,CDU_CSU,57,57,57,3.5614,-0.5439,-0.8947,-0.1754
