layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
21,0.0,selection,CDU_CSU,57,57,57,3.9123,0.0,0.0,0.0
21,0.0,selection,GRUENE,57,57,57,4.193,0.0,0.0,0.0
21,0.0,selection,SPD,57,57,57,4.1754,0.0,0.0,0.0
21,0.0,selection,AfD,57,57,57,3.807,0.0,0.0,0.0
21,0.0,selection,DIE_LINKE,57,57,57,4.2281,0.0,0.0,0.0
21,0.25,selection,CDU_CSU,57,57,57,3.5263,-0.386,-0.7719,-0.0351
21,0.25,selection,GRUENE,57,57,57,3.9123,-0.2807,-0.7544,0.1053
21,0.25,selection,SPD,57,57,57,3.6667,-0.5088,-0.9649,0.0
21,0.25,selection,AfD,57,57,57,3.2807,-0.5263,-1.0175,-0.0351
21,0.25,selection,DIE_LINKE,57,57,57,3.7018,-0.5263,-0.8596,-0.2105
21,0.5,selection,CDU_CSU,57,57,57,3.4386,-0.4737,-0.8425,-0.0877
21,0.5,selection,GRUENE,57,57,57,3.9298,-0.2632,-0.7719,0.193
21,0.5,selection,SPD,57,57,57,3.7193,-0.4561,-0.9474,0.0877
21,0.5,selection,AfD,57,57,57,3.2456,-0.5614,-1.0526,-0.0702
21,0.5,selection,DIE_LINKE,57,57,57,3.8947,-0.3333,-0.7368,0.0702
21,1.0,selection,CDU_CSU,57,57,57,3.3158,-0.5965,-0.9825,-0.193
21,1.0,selection,GRUENE,57,57,57,3.7544,-0.4386,-1.018,0.0877
21,1.0,selection,SPD,57,57,57,3.6667,-0.5088,-1.0,0.0526
21,1.0,selection,AfD,57,57,57,2.9825,-0.8246,-1.3338,-0.2978
21,1.0,selection,DIE_LINKE,57,57,57,3.7193,-0.5088,-0.9123,-0.1579
21,2.0,selection,CDU_CSU,57,57,57,3.3509,-0.5614,-0.9474,-0.1579
21,2.0,selection,GRUENE,57,57,57,3.7018,-0.4912,-1.0531,0.0526
21,2.0,selection,SPD,57,57,57,3.6842,-0.4912,-1.0,0.0526
21,2.0,selection,AfD,57,57,57,3.0702,-0.7368,-1.2636,-0.193
21,2.0,selection,DIE_LINKE,57,57,57,3.7018,-0.5263,-0.9298,-0.1579
21,4.0,selection,CDU_CSU,57,57,57,3.386,-0.5263,-0.9474,-0.1219
21,4.0,selection,GRUENE,57,57,57,3.5965,-0.5965,-1.1579,-0.0526
21,4.0,selection,SPD,57,57,57,3.6491,-0.5263,-1.0526,0.036
21,4.0,selection,AfD,57,57,57,3.0175,-0.7895,-1.3684,-0.2807
21,4.0,selection,DIE_LINKE,57,57,57,3.5614,-0.6667,-1.1228,-0.2456
21,8.0,selection,CDU_CSU,57,57,57,3.3509,-0.5614,-0.9825,-0.1228
21,8.0,selection,GRUENE,57,57,57,3.5789,-0.614,-1.1754,-0.0702
21,8.0,selection,SPD,57,57,57,3.6667,-0.5088,-1.0351,0.036
21,8.0,selection,AfD,57,57,57,2.9825,-0.8246,-1.386,-0.3154
21,8.0,selection,DIE_LINKE,57,57,57,3.5965,-0.6316,-1.0877,-0.2281
26,0.0,selection,CDU_CSU,57,57,57,3.9123,0.0,0.0,0.0
26,0.0,selection,GRUENE,57,57,57,4.193,0.0,0.0,0.0
26,0.0,selection,SPD,57,57,57,4.1754,0.0,0.0,0.0
26,0.0,selection,AfD,57,57,57,3.807,0.0,0.0,0.0
26,0.0,selection,DIE_LINKE,57,57,57,4.2281,0.0,0.0,0.0
26,0.25,selection,CDU_CSU,57,57,57,3.2105,-0.7018,-1.1404,-0.3158
26,0.25,selection,GRUENE,57,57,57,4.1404,-0.0526,-0.5789,0.4737
26,0.25,selection,SPD,57,57,57,4.0526,-0.1228,-0.614,0.4561
26,0.25,selection,AfD,57,57,57,3.1754,-0.6316,-1.193,-0.0877
26,0.25,selection,DIE_LINKE,57,57,57,3.8421,-0.386,-0.8596,0.1232
26,0.5,selection,CDU_CSU,57,57,57,3.193,-0.7193,-1.1588,-0.3333
26,0.5,selection,GRUENE,57,57,57,4.0877,-0.1053,-0.614,0.3684
26,0.5,selection,SPD,57,57,57,3.9825,-0.193,-0.6842,0.3333
26,0.5,selection,AfD,57,57,57,3.1404,-0.6667,-1.193,-0.1754
26,0.5,selection,DIE_LINKE,57,57,57,3.807,-0.4211,-0.8772,0.0004
26,1.0,selection,CDU_CSU,57,57,57,3.3333,-0.5789,-1.0526,-0.0873
26,1.0,selection,GRUENE,57,57,57,3.9123,-0.2807,-0.8421,0.2105
26,1.0,selection,SPD,57,57,57,4.0,-0.1754,-0.614,0.2982
26,1.0,selection,AfD,57,57,57,3.1228,-0.6842,-1.2285,-0.1044
26,1.0,selection,DIE_LINKE,57,57,57,3.6491,-0.5789,-1.0175,-0.1579
26,2.0,selection,CDU_CSU,57,57,57,3.3333,-0.5789,-1.0526,-0.0873
26,2.0,selection,GRUENE,57,57,57,3.8947,-0.2982,-0.8421,0.1754
26,2.0,selection,SPD,57,57,57,4.0526,-0.1228,-0.5789,0.3158
26,2.0,selection,AfD,57,57,57,3.1228,-0.6842,-1.2285,-0.1044
26,2.0,selection,DIE_LINKE,57,57,57,3.6842,-0.5439,-0.9654,-0.1228
26,4.0,selection,CDU_CSU,57,57,57,3.5614,-0.3509,-0.7895,0.1053
26,4.0,selection,GRUENE,57,57,57,3.8246,-0.3684,-0.9127,0.1057
26,4.0,selection,SPD,57,57,57,3.9825,-0.193,-0.632,0.2456
26,4.0,selection,AfD,57,57,57,3.0175,-0.7895,-1.3864,-0.2281
