layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
15,0.0,selection,CDU_CSU,57,57,57,3.7018,0.0,0.0,0.0
15,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
15,0.0,selection,SPD,57,57,57,4.0,0.0,0.0,0.0
15,0.0,selection,AfD,57,57,57,3.9825,0.0,0.0,0.0
15,0.0,selection,DIE_LINKE,57,57,57,4.0175,0.0,0.0,0.0
15,0.25,selection,CDU_CSU,57,57,57,3.5439,-0.1579,-0.6491,0.2811
15,0.25,selection,GRUENE,57,57,57,3.8421,-0.4912,-0.9123,-0.0351
15,0.25,selection,SPD,57,57,57,3.5789,-0.4211,-0.8947,0.0702
15,0.25,selection,AfD,57,57,57,3.2281,-0.7544,-1.2807,-0.2982
15,0.25,selection,DIE_LINKE,57,57,57,3.8421,-0.1754,-0.5088,0.1404
15,0.5,selection,CDU_CSU,57,57,57,3.5263,-0.1754,-0.6491,0.2632
15,0.5,selection,GRUENE,57,57,57,3.7544,-0.5789,-0.9474,-0.2456
15,0.5,selection,SPD,57,57,57,3.6842,-0.3158,-0.7018,0.1579
15,0.5,selection,AfD,57,57,57,3.2632,-0.7193,-1.1939,-0.2982
15,0.5,selection,DIE_LINKE,57,57,57,3.8246,-0.193,-0.5965,0.1579
15,1.0,selection,CDU_CSU,57,57,57,3.4561,-0.2456,-0.7018,0.193
15,1.0,selection,GRUENE,57,57,57,3.8596,-0.4737,-0.8246,-0.1754
15,1.0,selection,SPD,57,57,57,3.7544,-0.2456,-0.6846,0.1934
15,1.0,selection,AfD,57,57,57,3.2982,-0.6842,-1.1228,-0.2452
15,1.0,selection,DIE_LINKE,57,57,57,3.7368,-0.2807,-0.6496,0.0702
15,2.0,selection,CDU_CSU,57,57,57,3.4035,-0.2982,-0.807,0.1579
15,2.0,selection,GRUENE,57,57,57,3.8596,-0.4737,-0.8947,-0.1053
15,2.0,selection,SPD,57,57,57,3.5439,-0.4561,-0.9825,0.1053
15,2.0,selection,AfD,57,57,57,3.1754,-0.807,-1.2982,-0.3333
15,2.0,selection,DIE_LINKE,57,57,57,3.6667,-0.3509,-0.7719,0.0877
15,4.0,selection,CDU_CSU,57,57,57,3.2982,-0.4035,-0.8947,0.0175
15,4.0,selection,GRUENE,57,57,57,3.8596,-0.4737,-0.8596,-0.1404
15,4.0,selection,SPD,57,57,57,3.6842,-0.3158,-0.7193,0.1408
15,4.0,selection,AfD,57,57,57,3.1754,-0.807,-1.2105,-0.4035
15,4.0,selection,DIE_LINKE,57,57,57,3.7193,-0.2982,-0.7193,0.0882
15,8.0,selection,CDU_CSU,57,57,57,3.3333,-0.3684,-0.9298,0.0702
15,8.0,selection,GRUENE,57,57,57,3.7719,-0.5614,-1.0175,-0.1053
15,8.0,selection,SPD,57,57,57,3.5439,-0.4561,-0.825,-0.0351
15,8.0,selection,AfD,57,57,57,3.5614,-0.4211,-0.807,-0.0175
15,8.0,selection,DIE_LINKE,57,57,57,3.6491,-0.3684,-0.7544,0.0351
16,0.0,selection,CDU_CSU,57,57,57,3.7018,0.0,0.0,0.0
16,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
16,0.0,selection,SPD,57,57,57,4.0,0.0,0.0,0.0
16,0.0,selection,AfD,57,57,57,3.9825,0.0,0.0,0.0
16,0.0,selection,DIE_LINKE,57,57,57,4.0175,0.0,0.0,0.0
16,0.25,selection,CDU_CSU,57,57,57,3.4561,-0.2456,-0.7368,0.211
16,0.25,selection,GRUENE,57,57,57,4.0702,-0.2632,-0.7368,0.2281
16,0.25,selection,SPD,57,57,57,3.7544,-0.2456,-0.6842,0.2807
16,0.25,selection,AfD,57,57,57,3.4912,-0.4912,-0.9649,-0.0175
16,0.25,selection,DIE_LINKE,57,57,57,4.0,-0.0175,-0.4561,0.4035
16,0.5,selection,CDU_CSU,57,57,57,3.386,-0.3158,-0.8421,0.1579
16,0.5,selection,GRUENE,57,57,57,4.0877,-0.2456,-0.7719,0.2456
16,0.5,selection,SPD,57,57,57,3.7895,-0.2105,-0.7018,0.3333
16,0.5,selection,AfD,57,57,57,3.3333,-0.6491,-1.0877,-0.2281
16,0.5,selection,DIE_LINKE,57,57,57,4.0175,0.0,-0.4561,0.4386
16,1.0,selection,CDU_CSU,57,57,57,3.4035,-0.2982,-0.7719,0.1754
16,1.0,selection,GRUENE,57,57,57,3.8246,-0.5088,-0.9474,-0.0702
16,1.0,selection,SPD,57,57,57,3.6316,-0.3684,-0.8421,0.1228
16,1.0,selection,AfD,57,57,57,3.3333,-0.6491,-1.1053,-0.193
16,1.0,selection,DIE_LINKE,57,57,57,3.8772,-0.1404,-0.5789,0.3162
16,2.0,selection,CDU_CSU,57,57,57,3.3509,-0.3509,-0.8785,0.1404
16,2.0,selection,GRUENE,57,57,57,3.7544,-0.5789,-1.0,-0.1404
16,2.0,selection,SPD,57,57,57,3.5789,-0.4211,-0.8772,0.0531
16,2.0,selection,AfD,57,57,57,3.2632,-0.7193,-1.2281,-0.2632
16,2.0,selection,DIE_LINKE,57,57,57,3.8596,-0.1579,-0.5965,0.2811
16,4.0,selection,CDU_CSU,57,57,57,3.4912,-0.2105,-0.7206,0.2632
16,4.0,selection,GRUENE,57,57,57,3.7018,-0.6316,-1.1053,-0.1925
16,4.0,selection,SPD,57,57,57,3.6842,-0.3158,-0.8075,0.2105
16,4.0,selection,AfD,57,57,57,3.2807,-0.7018,-1.1754,-0.2456
16,4.0,selection,DIE_LINKE,57,57,57,3.7368,-0.2807,-0.7373,0.1232
16,8.0,selection,CDU_CSU,57,57,57,3.6667,-0.0351,-0.614,0.5618
16,8.0,selection,GRUENE,57,57,57,3.7018,-0.6316,-1.193,-0.1579
16,8.0,selection,SPD,57,57,57,3.6316,-0.3684,-0.9127,0.1583
16,8.0,selection,AfD,57,57,57,3.2456,-0.7368,-1.1404,-0.2807
16,8.0,selection,DIE_LINKE,57,57,57,3.4737,-0.5439,-1.0702,-0.0175
22,0.0,selection,CDU_CSU,57,57,57,3.7018,0.0,0.0,0.0
22,0.0,selection,GRUENE,57,57,57,4.3333,0.0,0.0,0.0
22,0.0,selection,SPD,57,57,57,4.0,0.0,0.0,0.0
22,0.0,selection,AfD,57,57,57,3.9825,0.0,0.0,0.0
22,0.0,selection,DIE_LINKE,57,57,57,4.0175,0.0,0.0,0.0
22,0.25,selection,CDU_CSU,57,57,57,3.5965,-0.1053,-0.6316,0.3513
22,0.25,selection,GRUENE,57,57,57,4.1404,-0.193,-0.5794,0.2105
22,0.25,selection,SPD,57,57,57,3.9825,-0.0175,-0.4566,0.4741
22,0.25,selection,AfD,57,57,57,3.4211,-0.5614,-1.0535,-0.1228
22,0.25,selection,DIE_LINKE,57,57,57,3.9474,-0.0702,-0.4561,0.2987
22,0.5,selection,CDU_CSU,57,57,57,3.5789,-0.1228,-0.6491,0.3333
22,0.5,selection,GRUENE,57,57,57,4.1404,-0.193,-0.5794,0.2105
22,0.5,selection,SPD,57,57,57,3.9825,-0.0175,-0.4566,0.4741
22,0.5,selection,AfD,57,57,57,3.4211,-0.5614,-1.0535,-0.1228
22,0.5,selection,DIE_LINKE,57,57,57,4.0175,0.0,-0.3684,0.386
22,1.0,selection,CDU_CSU,57,57,57,3.6491,-0.0526,-0.5794,0.4211
22,1.0,selection,GRUENE,57,57,57,3.8421,-0.4912,-0.8947,-0.0702
22,1.0,selection,SPD,57,57,57,3.7544,-0.2456,-0.632,0.211
22,1.0,selection,AfD,57,57,57,3.2456,-0.7368,-1.2982,-0.2982
22,1.0,selection,DIE_LINKE,57,57,57,3.8421,-0.1754,-0.5263,0.1228
22,2.0,selection,CDU_CSU,57,57,57,3.4737,-0.2281,-0.7719,0.2632
22,2.0,selection,GRUENE,57,57,57,3.9123,-0.4211,-0.9303,0.0877
22,2.0,selection,SPD,57,57,57,3.8246,-0.1754,-0.7018,0.3338
22,2.0,selection,AfD,57,57,57,3.1754,-0.807,-1.3689,-0.3684
22,2.0,selection,DIE_LINKE,57,57,57,3.9649,-0.0526,-0.4386,0.3158
22,4.0,selection,CDU_CSU,57,57,57,3.614,-0.0877,-0.614,0.3513
22,4.0,selection,GRUENE,57,57,57,3.6316,-0.7018,-1.211,-0.2456
22,4.0,selection,SPD,57,57,57,3.7018,-0.2982,-0.7193,0.1228
22,4.0,selection,AfD,57,57,57,3.2105,-0.7719,-1.3333,-0.2452
22,4.0,selection,DIE_LINKE,57,57,57,3.7544,-0.2632,-0.7368,0.1754
22,8.0,selection,CDU_CSU,57,57,57,3.7018,0.0,-0.5088,0.4917
