layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
42,0.0,selection,CDU_CSU,57,57,57,3.8246,0.0,0.0,0.0
42,0.0,selection,GRUENE,57,57,57,5.9123,0.0,0.0,0.0
42,0.0,selection,SPD,57,57,57,5.7895,0.0,0.0,0.0
42,0.0,selection,AfD,57,57,57,2.4211,0.0,0.0,0.0
42,0.0,selection,DIE_LINKE,57,57,57,6.0,0.0,0.0,0.0
42,0.25,selection,CDU_CSU,57,57,57,3.3684,-0.4561,-0.9654,0.0702
42,0.25,selection,GRUENE,57,57,57,5.7193,-0.193,-0.7018,0.2632
42,0.25,selection,SPD,57,57,57,5.3509,-0.4386,-0.9649,0.0175
42,0.25,selection,AfD,57,57,57,2.7719,0.3509,0.1224,0.614
42,0.25,selection,DIE_LINKE,57,57,57,5.807,-0.193,-0.632,0.2456
42,0.5,selection,CDU_CSU,57,57,57,3.5614,-0.2632,-0.807,0.2456
42,0.5,selection,GRUENE,57,57,57,5.6842,-0.2281,-0.7373,0.3333
42,0.5,selection,SPD,57,57,57,5.3158,-0.4737,-1.0175,0.0
42,0.5,selection,AfD,57,57,57,2.7719,0.3509,0.1053,0.6316
42,0.5,selection,DIE_LINKE,57,57,57,5.8246,-0.1754,-0.6316,0.2807
42,1.0,selection,CDU_CSU,57,57,57,3.5965,-0.2281,-0.6842,0.1754
42,1.0,selection,GRUENE,57,57,57,5.4912,-0.4211,-1.0702,0.1228
42,1.0,selection,SPD,57,57,57,5.3509,-0.4386,-1.0706,0.1232
42,1.0,selection,AfD,57,57,57,2.6842,0.2632,0.0171,0.5088
42,1.0,selection,DIE_LINKE,57,57,57,5.7018,-0.2982,-0.7544,0.1232
42,2.0,selection,CDU_CSU,57,57,57,3.5088,-0.3158,-0.807,0.1754
42,2.0,selection,GRUENE,57,57,57,5.807,-0.1053,-0.8772,0.5439
42,2.0,selection,SPD,57,57,57,5.5614,-0.2281,-0.8596,0.457
42,2.0,selection,AfD,57,57,57,2.6667,0.2456,-0.211,0.6842
42,2.0,selection,DIE_LINKE,57,57,57,6.0351,0.0351,-0.6496,0.6842
42,4.0,selection,CDU_CSU,57,57,57,4.193,0.3684,-0.1934,1.018
42,4.0,selection,GRUENE,57,57,57,5.5263,-0.386,-1.0702,0.2456
42,4.0,selection,SPD,57,57,57,5.0877,-0.7018,-1.4912,0.0702
42,4.0,selection,AfD,57,57,57,2.7193,0.2982,-0.2281,0.7895
42,4.0,selection,DIE_LINKE,57,57,57,5.2105,-0.7895,-1.386,-0.2281
42,8.0,selection,CDU_CSU,57,57,57,3.6316,-0.193,-0.8421,0.5263
42,8.0,selection,GRUENE,57,57,57,5.4912,-0.4211,-1.193,0.2982
42,8.0,selection,SPD,57,57,57,5.1053,-0.6842,-1.5965,0.1934
42,8.0,selection,AfD,57,57,57,2.8596,0.4386,-0.2105,1.1228
42,8.0,selection,DIE_LINKE,57,57,57,5.3509,-0.6491,-1.4386,0.1404
46,0.0,selection,CDU_CSU,57,57,57,3.8246,0.0,0.0,0.0
46,0.0,selection,GRUENE,57,57,57,5.9123,0.0,0.0,0.0
46,0.0,selection,SPD,57,57,57,5.7895,0.0,0.0,0.0
46,0.0,selection,AfD,57,57,57,2.4211,0.0,0.0,0.0
