layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
30,0.0,selection,CDU_CSU,57,57,57,3.7018,0.0,0.0,0.0
30,0.0,selection,GRUENE,57,57,57,6.0175,0.0,0.0,0.0
30,0.0,selection,SPD,57,57,57,5.807,0.0,0.0,0.0
30,0.0,selection,AfD,57,57,57,2.4737,0.0,0.0,0.0
30,0.0,selection,DIE_LINKE,57,57,57,5.7193,0.0,0.0,0.0
30,0.25,selection,CDU_CSU,57,57,57,3.2982,-0.4035,-0.8776,0.0702
30,0.25,selection,GRUENE,57,57,57,5.8596,-0.1579,-0.6667,0.3509
30,0.25,selection,SPD,57,57,57,5.4737,-0.3333,-0.9298,0.1583
30,0.25,selection,AfD,57,57,57,2.6667,0.193,-0.193,0.5263
30,0.25,selection,DIE_LINKE,57,57,57,5.4912,-0.2281,-0.6316,0.2632
30,0.5,selection,CDU_CSU,57,57,57,3.4035,-0.2982,-0.7544,0.1579
30,0.5,selection,GRUENE,57,57,57,5.8246,-0.193,-0.7018,0.3333
30,0.5,selection,SPD,57,57,57,5.4211,-0.386,-0.9829,0.0877
30,0.5,selection,AfD,57,57,57,2.6667,0.193,-0.193,0.5263
30,0.5,selection,DIE_LINKE,57,57,57,5.4912,-0.2281,-0.6491,0.2281
30,1.0,selection,CDU_CSU,57,57,57,3.5263,-0.1754,-0.6316,0.2461
30,1.0,selection,GRUENE,57,57,57,5.5965,-0.4211,-0.8421,0.0526
30,1.0,selection,SPD,57,57,57,5.4211,-0.386,-0.9649,0.0531
30,1.0,selection,AfD,57,57,57,2.5614,0.0877,-0.2982,0.4035
30,1.0,selection,DIE_LINKE,57,57,57,5.3684,-0.3509,-0.7719,0.1754
30,2.0,selection,CDU_CSU,57,57,57,3.4035,-0.2982,-0.7719,0.1754
30,2.0,selection,GRUENE,57,57,57,5.7719,-0.2456,-0.7022,0.2105
30,2.0,selection,SPD,57,57,57,5.3333,-0.4737,-1.0526,-0.0175
30,2.0,selection,AfD,57,57,57,2.614,0.1404,-0.2285,0.4737
30,2.0,selection,DIE_LINKE,57,57,57,5.4912,-0.2281,-0.6491,0.3158
30,4.0,selection,CDU_CSU,57,57,57,3.5614,-0.1404,-0.5439,0.3158
30,4.0,selection,GRUENE,57,57,57,5.5439,-0.4737,-1.018,0.0526
30,4.0,selection,SPD,57,57,57,5.2982,-0.5088,-1.0355,-0.0526
30,4.0,selection,AfD,57,57,57,2.5263,0.0526,-0.2807,0.3684
30,4.0,selection,DIE_LINKE,57,57,57,5.3333,-0.386,-0.7719,0.0882
30,8.0,selection,CDU_CSU,57,57,57,3.4561,-0.2456,-0.807,0.3684
30,8.0,selection,GRUENE,57,57,57,5.2982,-0.7193,-1.3158,-0.1925
30,8.0,selection,SPD,57,57,57,5.1228,-0.6842,-1.2991,-0.1404
30,8.0,selection,AfD,57,57,57,2.7719,0.2982,-0.1579,0.7719
30,8.0,selection,DIE_LINKE,57,57,57,5.3509,-0.3684,-0.8421,0.2632
32,0.0,selection,CDU_CSU,57,57,57,3.7018,0.0,0.0,0.0
32,0.0,selection,GRUENE,57,57,57,6.0175,0.0,0.0,0.0
32,0.0,selection,SPD,57,57,57,5.807,0.0,0.0,0.0
32,0.0,selection,AfD,57,57,57,2.4737,0.0,0.0,0.0
32,0.0,selection,DIE_LINKE,57,57,57,5.7193,0.0,0.0,0.0
32,0.25,selection,CDU_CSU,57,57,57,3.6491,-0.0526,-0.4917,0.4561
32,0.25,selection,GRUENE,57,57,57,5.8421,-0.1754,-0.6667,0.2987
32,0.25,selection,SPD,57,57,57,5.6316,-0.1754,-0.7895,0.386
32,0.25,selection,AfD,57,57,57,2.5263,0.0526,-0.2807,0.3684
32,0.25,selection,DIE_LINKE,57,57,57,5.5088,-0.2105,-0.6842,0.2987
32,0.5,selection,CDU_CSU,57,57,57,3.6842,-0.0175,-0.4561,0.4737
32,0.5,selection,GRUENE,57,57,57,5.8596,-0.1579,-0.6316,0.3162
32,0.5,selection,SPD,57,57,57,5.6491,-0.1579,-0.7895,0.4211
