layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
30,0.0,selection,CDU_CSU,57,57,57,3.2281,0.0,0.0,0.0
30,0.0,selection,GRUENE,57,57,57,6.2632,0.0,0.0,0.0
30,0.0,selection,SPD,57,57,57,6.0526,0.0,0.0,0.0
30,0.0,selection,AfD,57,57,57,2.5965,0.0,0.0,0.0
30,0.0,selection,DIE_LINKE,57,57,57,5.7544,0.0,0.0,0.0
30,0.25,selection,CDU_CSU,57,57,57,3.7018,0.4737,-0.0175,0.9654
30,0.25,selection,GRUENE,57,57,57,5.6491,-0.614,-1.1579,-0.1228
30,0.25,selection,SPD,57,57,57,5.5088,-0.5439,-1.1228,0.0
30,0.25,selection,AfD,57,57,57,2.4035,-0.193,-0.4741,0.0877
30,0.25,selection,DIE_LINKE,57,57,57,5.3333,-0.4211,-0.8596,0.0351
30,0.5,selection,CDU_CSU,57,57,57,3.7544,0.5263,0.0526,1.0351
30,0.5,selection,GRUENE,57,57,57,5.6316,-0.6316,-1.2461,-0.1579
30,0.5,selection,SPD,57,57,57,5.5263,-0.5263,-1.0702,-0.0175
30,0.5,selection,AfD,57,57,57,2.3684,-0.2281,-0.5439,0.0702
30,0.5,selection,DIE_LINKE,57,57,57,5.2632,-0.4912,-0.9825,-0.0175
30,1.0,selection,CDU_CSU,57,57,57,3.6316,0.4035,0.0,0.807
30,1.0,selection,GRUENE,57,57,57,5.5614,-0.7018,-1.2982,-0.2105
30,1.0,selection,SPD,57,57,57,5.4211,-0.6316,-1.1404,-0.1746
30,1.0,selection,AfD,57,57,57,2.3509,-0.2456,-0.5614,0.0351
30,1.0,selection,DIE_LINKE,57,57,57,5.1228,-0.6316,-1.1228,-0.1575
30,2.0,selection,CDU_CSU,57,57,57,3.4912,0.2632,-0.2285,0.7193
30,2.0,selection,GRUENE,57,57,57,5.4035,-0.8596,-1.4746,-0.2982
30,2.0,selection,SPD,57,57,57,5.4035,-0.6491,-1.1579,-0.2105
30,2.0,selection,AfD,57,57,57,2.4035,-0.193,-0.5439,0.193
30,2.0,selection,DIE_LINKE,57,57,57,5.2982,-0.4561,-1.0,0.1754
30,4.0,selection,CDU_CSU,57,57,57,3.7193,0.4912,0.0175,0.9478
30,4.0,selection,GRUENE,57,57,57,5.193,-1.0702,-1.7018,-0.5259
30,4.0,selection,SPD,57,57,57,4.9474,-1.1053,-1.7368,-0.5434
30,4.0,selection,AfD,57,57,57,2.4737,-0.1228,-0.5263,0.2982
30,4.0,selection,DIE_LINKE,57,57,57,4.9825,-0.7719,-1.2982,-0.2456
30,8.0,selection,CDU_CSU,57,57,57,3.5614,0.3333,-0.193,0.8776
30,8.0,selection,GRUENE,57,57,57,5.0526,-1.2105,-1.8947,-0.6136
30,8.0,selection,SPD,57,57,57,4.9123,-1.1404,-1.7719,-0.5263
30,8.0,selection,AfD,57,57,57,2.5263,-0.0702,-0.4917,0.3684
30,8.0,selection,DIE_LINKE,57,57,57,5.1228,-0.6316,-1.1754,-0.0175
32,0.0,selection,CDU_CSU,57,57,57,3.2281,0.0,0.0,0.0
32,0.0,selection,GRUENE,57,57,57,6.2632,0.0,0.0,0.0
32,0.0,selection,SPD,57,57,57,6.0526,0.0,0.0,0.0
32,0.0,selection,AfD,57,57,57,2.5965,0.0,0.0,0.0
32,0.0,selection,DIE_LINKE,57,57,57,5.7544,0.0,0.0,0.0
32,0.25,selection,CDU_CSU,57,57,57,3.7193,0.4912,-0.0702,1.0877
32,0.25,selection,GRUENE,57,57,57,6.0702,-0.193,-0.6491,0.2632
32,0.25,selection,SPD,57,57,57,5.8772,-0.1754,-0.6842,0.3158
32,0.25,selection,AfD,57,57,57,2.5088,-0.0877,-0.4211,0.2456
32,0.25,selection,DIE_LINKE,57,57,57,5.614,-0.1404,-0.6842,0.386
32,0.5,selection,CDU_CSU,57,57,57,3.7193,0.4912,-0.0702,1.0877
32,0.5,selection,GRUENE,57,57,57,6.0175,-0.2456,-0.7018,0.2105
32,0.5,selection,SPD,57,57,57,5.8421,-0.2105,-0.7018,0.2982
32,0.5,selection,AfD,57,57,57,2.5088,-0.0877,-0.4211,0.2456
32,0.5,selection,DIE_LINKE,57,57,57,5.5439,-0.2105,-0.7544,0.2982
32,1.0,selection,CDU_CSU,57,57,57,3.4386,0.2105,-0.282,0.7719
32,1.0,selection,GRUENE,57,57,57,5.5789,-0.6842,-1.2285,-0.2281
32,1.0,selection,SPD,57,57,57,5.7193,-0.3333,-0.825,0.193
32,1.0,selection,AfD,57,57,57,2.5789,-0.0175,-0.4035,0.4561
32,1.0,selection,DIE_LINKE,57,57,57,5.5263,-0.2281,-0.8421,0.4211
32,2.0,selection,CDU_CSU,57,57,57,3.386,0.1579,-0.3509,0.7544
32,2.0,selection,GRUENE,57,57,57,5.4737,-0.7895,-1.3509,-0.2632
32,2.0,selection,SPD,57,57,57,5.7895,-0.2632,-0.7368,0.2281
32,2.0,selection,AfD,57,57,57,2.6667,0.0702,-0.2987,0.5088
32,2.0,selection,DIE_LINKE,57,57,57,5.5088,-0.2456,-0.8772,0.4386
32,4.0,selection,CDU_CSU,57,57,57,3.3158,0.0877,-0.4219,0.6316
32,4.0,selection,GRUENE,57,57,57,5.1754,-1.0877,-1.6667,-0.5439
32,4.0,selection,SPD,57,57,57,5.3684,-0.6842,-1.2982,-0.1228
32,4.0,selection,AfD,57,57,57,2.7544,0.1579,-0.3333,0.7193
32,4.0,selection,DIE_LINKE,57,57,57,5.2632,-0.4912,-1.1579,0.1759
32,8.0,selection,CDU_CSU,57,57,57,3.3333,0.1053,-0.3864,0.6491
32,8.0,selection,GRUENE,57,57,57,5.2632,-1.0,-1.5965,-0.4908
32,8.0,selection,SPD,57,57,57,5.4737,-0.5789,-1.1579,-0.0522
32,8.0,selection,AfD,57,57,57,2.6491,0.0526,-0.3509,0.4912
32,8.0,selection,DIE_LINKE,57,57,57,5.386,-0.3684,-1.0355,0.2807
33,0.0,selection,CDU_CSU,57,57,57,3.2281,0.0,0.0,0.0
33,0.0,selection,GRUENE,57,57,57,6.2632,0.0,0.0,0.0
33,0.0,selection,SPD,57,57,57,6.0526,0.0,0.0,0.0
33,0.0,selection,AfD,57,57,57,2.5965,0.0,0.0,0.0
33,0.0,selection,DIE_LINKE,57,57,57,5.7544,0.0,0.0,0.0
33,0.25,selection,CDU_CSU,57,57,57,3.5439,0.3158,-0.2281,0.8596
33,0.25,selection,GRUENE,57,57,57,5.4912,-0.7719,-1.2461,-0.368
33,0.25,selection,SPD,57,57,57,5.4912,-0.5614,-1.2105,0.0
33,0.25,selection,AfD,57,57,57,2.5439,-0.0526,-0.2982,0.1754
33,0.25,selection,DIE_LINKE,57,57,57,5.5088,-0.2456,-0.7895,0.2982
33,0.5,selection,CDU_CSU,57,57,57,3.5263,0.2982,-0.2105,0.807
33,0.5,selection,GRUENE,57,57,57,5.6491,-0.614,-1.1228,-0.1579
33,0.5,selection,SPD,57,57,57,5.3333,-0.7193,-1.4211,-0.0526
33,0.5,selection,AfD,57,57,57,2.5614,-0.0351,-0.2807,0.193
33,0.5,selection,DIE_LINKE,57,57,57,5.5439,-0.2105,-0.7719,0.3333
33,1.0,selection,CDU_CSU,57,57,57,3.3509,0.1228,-0.5088,0.6667
33,1.0,selection,GRUENE,57,57,57,5.4912,-0.7719,-1.3333,-0.3333
33,1.0,selection,SPD,57,57,57,5.4561,-0.5965,-1.2807,-0.0522
33,1.0,selection,AfD,57,57,57,2.7193,0.1228,-0.193,0.4737
33,1.0,selection,DIE_LINKE,57,57,57,5.4737,-0.2807,-0.9303,0.3684
33,2.0,selection,CDU_CSU,57,57,57,3.1579,-0.0702,-0.7018,0.5794
33,2.0,selection,GRUENE,57,57,57,5.5965,-0.6667,-1.2281,-0.1228
33,2.0,selection,SPD,57,57,57,5.3684,-0.6842,-1.3333,-0.1404
33,2.0,selection,AfD,57,57,57,2.7193,0.1228,-0.1934,0.4912
33,2.0,selection,DIE_LINKE,57,57,57,5.5088,-0.2456,-0.8596,0.4039
33,4.0,selection,CDU_CSU,57,57,57,3.4561,0.2281,-0.4741,0.8246
33,4.0,selection,GRUENE,57,57,57,5.386,-0.8772,-1.4561,-0.386
33,4.0,selection,SPD,57,57,57,5.0702,-0.9825,-1.6316,-0.3509
33,4.0,selection,AfD,57,57,57,2.8772,0.2807,-0.1754,0.807
33,4.0,selection,DIE_LINKE,57,57,57,5.2281,-0.5263,-1.2105,0.1579
33,8.0,selection,CDU_CSU,57,57,57,3.4912,0.2632,-0.4912,0.8772
33,8.0,selection,GRUENE,57,57,57,5.4386,-0.8246,-1.4219,-0.2632
33,8.0,selection,SPD,57,57,57,5.1754,-0.8772,-1.4917,-0.3333
33,8.0,selection,AfD,57,57,57,2.8421,0.2456,-0.2105,0.7724
33,8.0,selection,DIE_LINKE,57,57,57,5.1579,-0.5965,-1.2636,0.0877
