layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
76,0.0,selection,CDU_CSU,57,57,57,3.5965,0.0,0.0,0.0
76,0.0,selection,GRUENE,57,57,57,6.4386,0.0,0.0,0.0
76,0.0,selection,SPD,57,57,57,5.3158,0.0,0.0,0.0
76,0.0,selection,AfD,57,57,57,2.6667,0.0,0.0,0.0
76,0.0,selection,DIE_LINKE,57,57,57,6.0526,0.0,0.0,0.0
76,0.25,selection,CDU_CSU,57,57,57,3.5263,-0.0702,-0.7193,0.5088
76,0.25,selection,GRUENE,57,57,57,6.0351,-0.4035,-0.9829,0.1579
76,0.25,selection,SPD,57,57,57,5.5789,0.2632,-0.3158,0.9123
76,0.25,selection,AfD,57,57,57,2.6667,0.0,-0.3509,0.2987
76,0.25,selection,DIE_LINKE,57,57,57,5.7018,-0.3509,-0.7373,0.0702
76,0.5,selection,CDU_CSU,57,57,57,3.4737,-0.1228,-0.7548,0.4215
76,0.5,selection,GRUENE,57,57,57,6.0702,-0.3684,-0.9649,0.193
76,0.5,selection,SPD,57,57,57,5.5789,0.2632,-0.3158,0.9127
76,0.5,selection,AfD,57,57,57,2.6667,0.0,-0.3509,0.2987
76,0.5,selection,DIE_LINKE,57,57,57,5.7368,-0.3158,-0.7193,0.0877
76,1.0,selection,CDU_CSU,57,57,57,3.5263,-0.0702,-0.7018,0.4561
76,1.0,selection,GRUENE,57,57,57,5.9123,-0.5263,-1.0351,-0.0175
76,1.0,selection,SPD,57,57,57,5.4737,0.1579,-0.4566,0.7719
76,1.0,selection,AfD,57,57,57,2.5789,-0.0877,-0.4039,0.1579
76,1.0,selection,DIE_LINKE,57,57,57,5.614,-0.4386,-0.8075,-0.0873
76,2.0,selection,CDU_CSU,57,57,57,3.5263,-0.0702,-0.6842,0.4035
76,2.0,selection,GRUENE,57,57,57,5.8246,-0.614,-1.1579,-0.1053
76,2.0,selection,SPD,57,57,57,5.4561,0.1404,-0.4737,0.7373
76,2.0,selection,AfD,57,57,57,2.5614,-0.1053,-0.3864,0.1404
76,2.0,selection,DIE_LINKE,57,57,57,5.5965,-0.4561,-0.8421,-0.1053
76,4.0,selection,CDU_CSU,57,57,57,3.0351,-0.5614,-1.4386,0.2281
76,4.0,selection,GRUENE,57,57,57,5.4737,-0.9649,-1.843,-0.0697
