layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
14,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
14,0.0,selection,GRUENE,57,57,57,5.1579,0.0,0.0,0.0
14,0.0,selection,SPD,57,57,57,5.1228,0.0,0.0,0.0
14,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
14,0.0,selection,DIE_LINKE,57,57,57,5.3158,0.0,0.0,0.0
14,0.25,selection,CDU_CSU,57,57,57,4.2807,-0.2105,-0.4912,0.0877
14,0.25,selection,GRUENE,57,57,57,4.7544,-0.4035,-0.7022,-0.1228
14,0.25,selection,SPD,57,57,57,4.8246,-0.2982,-0.6496,0.0526
14,0.25,selection,AfD,57,57,57,3.0,-0.614,-0.9649,-0.2105
14,0.25,selection,DIE_LINKE,57,57,57,5.1404,-0.1754,-0.4912,0.1228
14,0.5,selection,CDU_CSU,57,57,57,4.2807,-0.2105,-0.4912,0.0877
14,0.5,selection,GRUENE,57,57,57,4.7719,-0.386,-0.6846,-0.1053
14,0.5,selection,SPD,57,57,57,4.8246,-0.2982,-0.6667,0.0526
14,0.5,selection,AfD,57,57,57,3.0175,-0.5965,-0.9298,-0.193
14,0.5,selection,DIE_LINKE,57,57,57,5.1053,-0.2105,-0.5263,0.0702
14,1.0,selection,CDU_CSU,57,57,57,4.2105,-0.2807,-0.5614,0.0175
14,1.0,selection,GRUENE,57,57,57,4.8421,-0.3158,-0.632,-0.0526
14,1.0,selection,SPD,57,57,57,4.7719,-0.3509,-0.7193,0.0351
14,1.0,selection,AfD,57,57,57,2.8596,-0.7544,-1.1404,-0.386
14,1.0,selection,DIE_LINKE,57,57,57,5.0,-0.3158,-0.6491,0.0351
14,2.0,selection,CDU_CSU,57,57,57,4.2105,-0.2807,-0.5443,0.0175
14,2.0,selection,GRUENE,57,57,57,4.807,-0.3509,-0.6316,-0.1053
14,2.0,selection,SPD,57,57,57,4.7544,-0.3684,-0.7018,-0.0522
14,2.0,selection,AfD,57,57,57,2.8246,-0.7895,-1.1754,-0.4211
14,2.0,selection,DIE_LINKE,57,57,57,5.0175,-0.2982,-0.6491,0.0526
14,4.0,selection,CDU_CSU,57,57,57,4.1579,-0.3333,-0.807,0.1053
14,4.0,selection,GRUENE,57,57,57,4.8772,-0.2807,-0.7022,0.193
14,4.0,selection,SPD,57,57,57,4.7193,-0.4035,-0.8596,0.0702
14,4.0,selection,AfD,57,57,57,3.2456,-0.3684,-0.8596,0.1583
14,4.0,selection,DIE_LINKE,57,57,57,4.8246,-0.4912,-0.9649,0.0175
14,8.0,selection,CDU_CSU,57,57,57,4.0175,-0.4737,-0.9829,0.0351
14,8.0,selection,GRUENE,57,57,57,4.9474,-0.2105,-0.7193,0.2807
14,8.0,selection,SPD,57,57,57,4.7368,-0.386,-0.8772,0.1583
14,8.0,selection,AfD,57,57,57,3.1404,-0.4737,-0.9654,0.0702
14,8.0,selection,DIE_LINKE,57,57,57,4.7018,-0.614,-1.1053,-0.0877
30,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
30,0.0,selection,GRUENE,57,57,57,5.1579,0.0,0.0,0.0
30,0.0,selection,SPD,57,57,57,5.1228,0.0,0.0,0.0
30,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
30,0.0,selection,DIE_LINKE,57,57,57,5.3158,0.0,0.0,0.0
30,0.25,selection,CDU_CSU,57,57,57,4.0526,-0.4386,-0.8596,0.0
30,0.25,selection,GRUENE,57,57,57,4.8947,-0.2632,-0.6316,0.1057
30,0.25,selection,SPD,57,57,57,4.7018,-0.4211,-0.7724,-0.0526
30,0.25,selection,AfD,57,57,57,2.9825,-0.6316,-1.0702,-0.1754
30,0.25,selection,DIE_LINKE,57,57,57,5.0351,-0.2807,-0.6491,0.0877
30,0.5,selection,CDU_CSU,57,57,57,4.0,-0.4912,-0.9123,-0.0702
30,0.5,selection,GRUENE,57,57,57,4.9298,-0.2281,-0.6316,0.193
30,0.5,selection,SPD,57,57,57,4.8421,-0.2807,-0.6671,0.1057
30,0.5,selection,AfD,57,57,57,3.1228,-0.4912,-0.8776,-0.0346
30,0.5,selection,DIE_LINKE,57,57,57,5.0526,-0.2632,-0.5969,0.0702
30,1.0,selection,CDU_CSU,57,57,57,4.0351,-0.4561,-0.8947,-0.0175
30,1.0,selection,GRUENE,57,57,57,4.9825,-0.1754,-0.5614,0.2632
30,1.0,selection,SPD,57,57,57,4.7018,-0.4211,-0.9123,0.0175
30,1.0,selection,AfD,57,57,57,3.2456,-0.3684,-0.7193,0.0004
30,1.0,selection,DIE_LINKE,57,57,57,4.8947,-0.4211,-0.807,-0.0346
30,2.0,selection,CDU_CSU,57,57,57,4.1053,-0.386,-0.8246,0.0526
30,2.0,selection,GRUENE,57,57,57,4.8596,-0.2982,-0.614,0.0877
30,2.0,selection,SPD,57,57,57,4.8947,-0.2281,-0.6491,0.1408
30,2.0,selection,AfD,57,57,57,3.2281,-0.386,-0.7368,-0.0175
30,2.0,selection,DIE_LINKE,57,57,57,5.0877,-0.2281,-0.5965,0.1404
30,4.0,selection,CDU_CSU,57,57,57,4.0,-0.4912,-1.1228,0.0877
30,4.0,selection,GRUENE,57,57,57,5.0,-0.1579,-0.7895,0.4561
30,4.0,selection,SPD,57,57,57,4.807,-0.3158,-0.7544,0.1228
30,4.0,selection,AfD,57,57,57,3.2982,-0.3158,-0.8956,0.3333
30,4.0,selection,DIE_LINKE,57,57,57,5.0526,-0.2632,-0.7193,0.2281
30,8.0,selection,CDU_CSU,57,57,57,3.7018,-0.7895,-1.4912,-0.0702
30,8.0,selection,GRUENE,57,57,57,4.4912,-0.6667,-1.3513,0.0
30,8.0,selection,SPD,57,57,57,4.2105,-0.9123,-1.5092,-0.2982
30,8.0,selection,AfD,57,57,57,3.3158,-0.2982,-0.9825,0.3509
30,8.0,selection,DIE_LINKE,57,57,57,4.6842,-0.6316,-1.2982,-0.0175
31,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
31,0.0,selection,GRUENE,57,57,57,5.1579,0.0,0.0,0.0
31,0.0,selection,SPD,57,57,57,5.1228,0.0,0.0,0.0
31,0.0,selection,AfD,57,57,57,3.614,0.0,0.0,0.0
31,0.0,selection,DIE_LINKE,57,57,57,5.3158,0.0,0.0,0.0
31,0.25,selection,CDU_CSU,57,57,57,4.0351,-0.4561,-0.8596,-0.0175
31,0.25,selection,GRUENE,57,57,57,4.7193,-0.4386,-0.9123,0.0
31,0.25,selection,SPD,57,57,57,4.9123,-0.2105,-0.5439,0.1228
31,0.25,selection,AfD,57,57,57,2.8947,-0.7193,-1.1228,-0.3333
31,0.25,selection,DIE_LINKE,57,57,57,4.8246,-0.4912,-0.9474,0.0
31,0.5,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-0.807,0.0877
