layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
14,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
14,0.0,selection,GRUENE,57,57,57,5.4211,0.0,0.0,0.0
14,0.0,selection,SPD,57,57,57,5.3333,0.0,0.0,0.0
14,0.0,selection,AfD,57,57,57,4.1579,0.0,0.0,0.0
14,0.0,selection,DIE_LINKE,57,57,57,5.0877,0.0,0.0,0.0
14,0.25,selection,CDU_CSU,57,57,57,4.386,-0.1053,-0.5614,0.3509
14,0.25,selection,GRUENE,57,57,57,4.9298,-0.4912,-0.9123,-0.1404
14,0.25,selection,SPD,57,57,57,4.8421,-0.4912,-1.0,0.0526
14,0.25,selection,AfD,57,57,57,3.807,-0.3509,-0.7368,-0.0351
14,0.25,selection,DIE_LINKE,57,57,57,4.4386,-0.6491,-1.2281,-0.1404
14,0.5,selection,CDU_CSU,57,57,57,4.4561,-0.0351,-0.4566,0.4035
14,0.5,selection,GRUENE,57,57,57,4.8246,-0.5965,-1.0351,-0.193
14,0.5,selection,SPD,57,57,57,5.1053,-0.2281,-0.7018,0.193
14,0.5,selection,AfD,57,57,57,3.6667,-0.4912,-0.9127,-0.1228
14,0.5,selection,DIE_LINKE,57,57,57,4.6491,-0.4386,-0.8601,-0.0518
14,1.0,selection,CDU_CSU,57,57,57,4.0526,-0.4386,-1.0877,0.0526
14,1.0,selection,GRUENE,57,57,57,4.9298,-0.4912,-1.0702,0.0526
14,1.0,selection,SPD,57,57,57,4.8947,-0.4386,-1.0175,0.1053
14,1.0,selection,AfD,57,57,57,3.7368,-0.4211,-0.9478,0.1228
14,1.0,selection,DIE_LINKE,57,57,57,4.614,-0.4737,-1.0351,0.0877
14,2.0,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-1.1228,0.2461
14,2.0,selection,GRUENE,57,57,57,4.6491,-0.7719,-1.439,-0.1579
14,2.0,selection,SPD,57,57,57,4.5088,-0.8246,-1.4737,-0.1579
14,2.0,selection,AfD,57,57,57,4.0175,-0.1404,-0.7018,0.4741
14,2.0,selection,DIE_LINKE,57,57,57,4.5614,-0.5263,-1.1754,0.1057
14,4.0,selection,CDU_CSU,57,57,57,4.193,-0.2982,-0.8772,0.2281
14,4.0,selection,GRUENE,57,57,57,4.6667,-0.7544,-1.3864,-0.1579
14,4.0,selection,SPD,57,57,57,4.6667,-0.6667,-1.3684,-0.0175
14,4.0,selection,AfD,57,57,57,3.8596,-0.2982,-0.9123,0.3333
14,4.0,selection,DIE_LINKE,57,57,57,4.1754,-0.9123,-1.5614,-0.2281
14,8.0,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-1.0886,0.2807
14,8.0,selection,GRUENE,57,57,57,5.0702,-0.3509,-1.0882,0.4737
14,8.0,selection,SPD,57,57,57,5.0175,-0.3158,-1.0351,0.4912
14,8.0,selection,AfD,57,57,57,3.2982,-0.8596,-1.3518,-0.4211
14,8.0,selection,DIE_LINKE,57,57,57,4.5614,-0.5263,-1.2811,0.2456
15,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
15,0.0,selection,GRUENE,57,57,57,5.4211,0.0,0.0,0.0
15,0.0,selection,SPD,57,57,57,5.3333,0.0,0.0,0.0
15,0.0,selection,AfD,57,57,57,4.1579,0.0,0.0,0.0
15,0.0,selection,DIE_LINKE,57,57,57,5.0877,0.0,0.0,0.0
15,0.25,selection,CDU_CSU,57,57,57,4.2281,-0.2632,-0.6316,0.0702
15,0.25,selection,GRUENE,57,57,57,4.9825,-0.4386,-0.7895,-0.1228
15,0.25,selection,SPD,57,57,57,5.1579,-0.1754,-0.6667,0.2456
15,0.25,selection,AfD,57,57,57,3.9298,-0.2281,-0.5789,0.0877
15,0.25,selection,DIE_LINKE,57,57,57,5.0526,-0.0351,-0.4386,0.4211
15,0.5,selection,CDU_CSU,57,57,57,4.2281,-0.2632,-0.6316,0.0702
15,0.5,selection,GRUENE,57,57,57,4.9474,-0.4737,-0.8246,-0.1404
15,0.5,selection,SPD,57,57,57,5.1228,-0.2105,-0.7018,0.2105
15,0.5,selection,AfD,57,57,57,3.9298,-0.2281,-0.5789,0.0877
15,0.5,selection,DIE_LINKE,57,57,57,5.0,-0.0877,-0.5092,0.386
15,1.0,selection,CDU_CSU,57,57,57,4.0702,-0.4211,-0.7895,-0.0877
15,1.0,selection,GRUENE,57,57,57,4.8596,-0.5614,-1.0175,-0.1579
15,1.0,selection,SPD,57,57,57,4.9825,-0.3509,-0.9298,0.1228
15,1.0,selection,AfD,57,57,57,3.9298,-0.2281,-0.6667,0.2105
15,1.0,selection,DIE_LINKE,57,57,57,4.8246,-0.2632,-0.7719,0.2807
15,2.0,selection,CDU_CSU,57,57,57,4.1404,-0.3509,-0.7018,-0.0175
15,2.0,selection,GRUENE,57,57,57,4.9474,-0.4737,-0.8254,-0.1228
15,2.0,selection,SPD,57,57,57,5.0175,-0.3158,-0.7719,0.1053
15,2.0,selection,AfD,57,57,57,3.8246,-0.3333,-0.7719,0.018
15,2.0,selection,DIE_LINKE,57,57,57,4.8772,-0.2105,-0.6491,0.2807
15,4.0,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-0.8772,0.1404
15,4.0,selection,GRUENE,57,57,57,4.386,-1.0351,-1.5614,-0.5614
15,4.0,selection,SPD,57,57,57,4.5965,-0.7368,-1.4741,-0.0526
15,4.0,selection,AfD,57,57,57,3.7193,-0.4386,-0.9654,0.0877
15,4.0,selection,DIE_LINKE,57,57,57,4.0351,-1.0526,-1.6316,-0.4908
15,8.0,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-1.0355,0.2811
15,8.0,selection,GRUENE,57,57,57,4.1228,-1.2982,-1.8947,-0.7539
15,8.0,selection,SPD,57,57,57,4.4035,-0.9298,-1.5794,-0.2807
15,8.0,selection,AfD,57,57,57,3.6491,-0.5088,-1.193,0.1228
15,8.0,selection,DIE_LINKE,57,57,57,3.4561,-1.6316,-2.2807,-1.0868
16,0.0,selection,CDU_CSU,57,57,57,4.4912,0.0,0.0,0.0
16,0.0,selection,GRUENE,57,57,57,5.4211,0.0,0.0,0.0
16,0.0,selection,SPD,57,57,57,5.3333,0.0,0.0,0.0
16,0.0,selection,AfD,57,57,57,4.1579,0.0,0.0,0.0
16,0.0,selection,DIE_LINKE,57,57,57,5.0877,0.0,0.0,0.0
16,0.25,selection,CDU_CSU,57,57,57,4.193,-0.2982,-0.7018,0.0526
16,0.25,selection,GRUENE,57,57,57,5.0877,-0.3333,-0.7193,0.0175
16,0.25,selection,SPD,57,57,57,5.2807,-0.0526,-0.4912,0.4561
16,0.25,selection,AfD,57,57,57,3.9123,-0.2456,-0.7018,0.1404
16,0.25,selection,DIE_LINKE,57,57,57,4.6667,-0.4211,-0.9123,0.0351
16,0.5,selection,CDU_CSU,57,57,57,4.1754,-0.3158,-0.7193,0.0351
16,0.5,selection,GRUENE,57,57,57,5.0877,-0.3333,-0.7193,0.0175
16,0.5,selection,SPD,57,57,57,5.3509,0.0175,-0.4215,0.4912
16,0.5,selection,AfD,57,57,57,3.9298,-0.2281,-0.6846,0.1754
16,0.5,selection,DIE_LINKE,57,57,57,4.6842,-0.4035,-0.9123,0.0526
16,1.0,selection,CDU_CSU,57,57,57,4.1579,-0.3333,-0.7544,0.0351
16,1.0,selection,GRUENE,57,57,57,4.9123,-0.5088,-0.9474,-0.1404
16,1.0,selection,SPD,57,57,57,5.2632,-0.0702,-0.5618,0.4386
16,1.0,selection,AfD,57,57,57,3.807,-0.3509,-0.825,0.018
16,1.0,selection,DIE_LINKE,57,57,57,4.4035,-0.6842,-1.2456,-0.1579
16,2.0,selection,CDU_CSU,57,57,57,4.1228,-0.3684,-0.807,-0.0175
16,2.0,selection,GRUENE,57,57,57,4.9123,-0.5088,-0.9825,-0.1053
16,2.0,selection,SPD,57,57,57,5.2632,-0.0702,-0.5965,0.4561
16,2.0,selection,AfD,57,57,57,3.7193,-0.4386,-0.8947,-0.0702
16,2.0,selection,DIE_LINKE,57,57,57,4.4035,-0.6842,-1.2456,-0.1921
16,4.0,selection,CDU_CSU,57,57,57,3.9123,-0.5789,-1.0526,-0.1053
16,4.0,selection,GRUENE,57,57,57,4.2632,-1.1579,-1.807,-0.614
16,4.0,selection,SPD,57,57,57,4.386,-0.9474,-1.5969,-0.3855
16,4.0,selection,AfD,57,57,57,4.0526,-0.1053,-0.6842,0.4912
16,4.0,selection,DIE_LINKE,57,57,57,3.8947,-1.193,-1.825,-0.5789
16,8.0,selection,CDU_CSU,57,57,57,3.807,-0.6842,-1.1404,-0.2456
16,8.0,selection,GRUENE,57,57,57,4.5439,-0.8772,-1.5088,-0.3684
16,8.0,selection,SPD,57,57,57,4.614,-0.7193,-1.2461,-0.2105
16,8.0,selection,AfD,57,57,57,3.8421,-0.3158,-0.7895,0.0877
16,8.0,selection,DIE_LINKE,57,57,57,4.0877,-1.0,-1.5789,-0.4035
