layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
14,0.0,selection,CDU_CSU,57,57,57,4.2456,0.0,0.0,0.0
14,0.0,selection,GRUENE,57,57,57,5.1228,0.0,0.0,0.0
14,0.0,selection,SPD,57,57,57,5.4561,0.0,0.0,0.0
14,0.0,selection,AfD,57,57,57,3.8421,0.0,0.0,0.0
14,0.0,selection,DIE_LINKE,57,57,57,4.8246,0.0,0.0,0.0
14,0.25,selection,CDU_CSU,57,57,57,4.3509,0.1053,-0.211,0.4912
14,0.25,selection,GRUENE,57,57,57,5.193,0.0702,-0.2456,0.4035
14,0.25,selection,SPD,57,57,57,5.2807,-0.1754,-0.5965,0.2632
14,0.25,selection,AfD,57,57,57,3.7719,-0.0702,-0.5439,0.3509
14,0.25,selection,DIE_LINKE,57,57,57,4.9123,0.0877,-0.3162,0.4912
14,0.5,selection,CDU_CSU,57,57,57,4.3333,0.0877,-0.2456,0.4737
14,0.5,selection,GRUENE,57,57,57,5.1754,0.0526,-0.2632,0.3689
14,0.5,selection,SPD,57,57,57,5.2807,-0.1754,-0.5965,0.2632
14,0.5,selection,AfD,57,57,57,3.7544,-0.0877,-0.5618,0.3338
14,0.5,selection,DIE_LINKE,57,57,57,4.9123,0.0877,-0.3162,0.4912
14,1.0,selection,CDU_CSU,57,57,57,4.2807,0.0351,-0.3158,0.4561
14,1.0,selection,GRUENE,57,57,57,5.0702,-0.0526,-0.4035,0.3158
14,1.0,selection,SPD,57,57,57,5.1228,-0.3333,-0.7197,0.0531
14,1.0,selection,AfD,57,57,57,3.7018,-0.1404,-0.6145,0.3333
14,1.0,selection,DIE_LINKE,57,57,57,4.8246,0.0,-0.4035,0.386
14,2.0,selection,CDU_CSU,57,57,57,4.2982,0.0526,-0.2982,0.457
14,2.0,selection,GRUENE,57,57,57,5.0877,-0.0351,-0.3684,0.3333
14,2.0,selection,SPD,57,57,57,5.1579,-0.2982,-0.7018,0.1404
14,2.0,selection,AfD,57,57,57,3.7018,-0.1404,-0.6316,0.3333
14,2.0,selection,DIE_LINKE,57,57,57,4.807,-0.0175,-0.4386,0.386
14,4.0,selection,CDU_CSU,57,57,57,4.4386,0.193,-0.193,0.5969
14,4.0,selection,GRUENE,57,57,57,4.6667,-0.4561,-0.9474,0.018
14,4.0,selection,SPD,57,57,57,4.7719,-0.6842,-1.2281,-0.1754
14,4.0,selection,AfD,57,57,57,3.5965,-0.2456,-0.807,0.2811
14,4.0,selection,DIE_LINKE,57,57,57,4.4912,-0.3333,-0.8596,0.2281
14,8.0,selection,CDU_CSU,57,57,57,4.2456,0.0,-0.4737,0.4912
14,8.0,selection,GRUENE,57,57,57,4.8596,-0.2632,-0.9123,0.3513
14,8.0,selection,SPD,57,57,57,4.7544,-0.7018,-1.2281,-0.1754
14,8.0,selection,AfD,57,57,57,3.5439,-0.2982,-0.8952,0.2632
14,8.0,selection,DIE_LINKE,57,57,57,4.6316,-0.193,-0.807,0.4386
15,0.0,selection,CDU_CSU,57,57,57,4.2456,0.0,0.0,0.0
15,0.0,selection,GRUENE,57,57,57,5.1228,0.0,0.0,0.0
15,0.0,selection,SPD,57,57,57,5.4561,0.0,0.0,0.0
15,0.0,selection,AfD,57,57,57,3.8421,0.0,0.0,0.0
15,0.0,selection,DIE_LINKE,57,57,57,4.8246,0.0,0.0,0.0
15,0.25,selection,CDU_CSU,57,57,57,4.1053,-0.1404,-0.4386,0.1754
15,0.25,selection,GRUENE,57,57,57,5.1579,0.0351,-0.2982,0.4211
15,0.25,selection,SPD,57,57,57,5.3509,-0.1053,-0.4211,0.2461
15,0.25,selection,AfD,57,57,57,3.8421,0.0,-0.4386,0.3684
15,0.25,selection,DIE_LINKE,57,57,57,4.9474,0.1228,-0.2105,0.5088
15,0.5,selection,CDU_CSU,57,57,57,4.1228,-0.1228,-0.4211,0.193
15,0.5,selection,GRUENE,57,57,57,5.1228,0.0,-0.3333,0.3684
15,0.5,selection,SPD,57,57,57,5.3333,-0.1228,-0.4561,0.2456
15,0.5,selection,AfD,57,57,57,3.8246,-0.0175,-0.4386,0.3509
15,0.5,selection,DIE_LINKE,57,57,57,4.9474,0.1228,-0.2105,0.5088
15,1.0,selection,CDU_CSU,57,57,57,4.1754,-0.0702,-0.3684,0.2456
15,1.0,selection,GRUENE,57,57,57,4.9474,-0.1754,-0.5088,0.2281
15,1.0,selection,SPD,57,57,57,5.2281,-0.2281,-0.5789,0.1404
15,1.0,selection,AfD,57,57,57,3.7719,-0.0702,-0.4912,0.2982
15,1.0,selection,DIE_LINKE,57,57,57,4.7018,-0.1228,-0.5789,0.2811
15,2.0,selection,CDU_CSU,57,57,57,4.1228,-0.1228,-0.4386,0.193
15,2.0,selection,GRUENE,57,57,57,4.8596,-0.2632,-0.6491,0.1579
15,2.0,selection,SPD,57,57,57,5.1754,-0.2807,-0.6667,0.1228
15,2.0,selection,AfD,57,57,57,3.7895,-0.0526,-0.5088,0.3513
15,2.0,selection,DIE_LINKE,57,57,57,4.614,-0.2105,-0.6667,0.211
15,4.0,selection,CDU_CSU,57,57,57,4.1579,-0.0877,-0.4561,0.3509
15,4.0,selection,GRUENE,57,57,57,4.5614,-0.5614,-1.0,-0.1053
15,4.0,selection,SPD,57,57,57,4.9298,-0.5263,-1.0877,-0.0171
15,4.0,selection,AfD,57,57,57,3.614,-0.2281,-0.6667,0.2281
15,4.0,selection,DIE_LINKE,57,57,57,4.4561,-0.3684,-0.8947,0.1579
15,8.0,selection,CDU_CSU,57,57,57,4.0877,-0.1579,-0.5965,0.2456
15,8.0,selection,GRUENE,57,57,57,4.5614,-0.5614,-1.0184,-0.0175
15,8.0,selection,SPD,57,57,57,4.7719,-0.6842,-1.2632,-0.1048
15,8.0,selection,AfD,57,57,57,3.4386,-0.4035,-0.9303,0.0877
15,8.0,selection,DIE_LINKE,57,57,57,4.2281,-0.5965,-1.1404,-0.0351
35,0.0,selection,CDU_CSU,57,57,57,4.2456,0.0,0.0,0.0
35,0.0,selection,GRUENE,57,57,57,5.1228,0.0,0.0,0.0
35,0.0,selection,SPD,57,57,57,5.4561,0.0,0.0,0.0
35,0.0,selection,AfD,57,57,57,3.8421,0.0,0.0,0.0
35,0.0,selection,DIE_LINKE,57,57,57,4.8246,0.0,0.0,0.0
35,0.25,selection,CDU_CSU,57,57,57,3.9123,-0.3333,-0.7368,0.0702
35,0.25,selection,GRUENE,57,57,57,4.6491,-0.4737,-0.9298,-0.0877
35,0.25,selection,SPD,57,57,57,5.0175,-0.4386,-0.8772,-0.0175
