layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
25,0.0,selection,CDU_CSU,57,57,57,4.1053,0.0,0.0,0.0
25,0.0,selection,GRUENE,57,57,57,5.2632,0.0,0.0,0.0
25,0.0,selection,SPD,57,57,57,5.3509,0.0,0.0,0.0
25,0.0,selection,AfD,57,57,57,3.8772,0.0,0.0,0.0
25,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
25,0.25,selection,CDU_CSU,57,57,57,4.2105,0.1053,-0.3158,0.5614
25,0.25,selection,GRUENE,57,57,57,5.1228,-0.1404,-0.5789,0.2807
25,0.25,selection,SPD,57,57,57,5.0526,-0.2982,-0.7193,0.1579
25,0.25,selection,AfD,57,57,57,3.8421,-0.0351,-0.3162,0.2807
25,0.25,selection,DIE_LINKE,57,57,57,4.7368,-0.193,-0.5614,0.1579
25,0.5,selection,CDU_CSU,57,57,57,4.2105,0.1053,-0.3158,0.5614
25,0.5,selection,GRUENE,57,57,57,5.1404,-0.1228,-0.5443,0.2987
25,0.5,selection,SPD,57,57,57,5.0526,-0.2982,-0.7193,0.1579
25,0.5,selection,AfD,57,57,57,3.8421,-0.0351,-0.3162,0.2807
25,0.5,selection,DIE_LINKE,57,57,57,4.7193,-0.2105,-0.5794,0.1579
25,1.0,selection,CDU_CSU,57,57,57,4.1053,0.0,-0.4912,0.4912
25,1.0,selection,GRUENE,57,57,57,5.2281,-0.0351,-0.5092,0.4386
25,1.0,selection,SPD,57,57,57,4.8421,-0.5088,-0.9127,-0.0171
25,1.0,selection,AfD,57,57,57,3.614,-0.2632,-0.7022,0.1404
25,1.0,selection,DIE_LINKE,57,57,57,4.6491,-0.2807,-0.7368,0.1053
25,2.0,selection,CDU_CSU,57,57,57,4.1404,0.0351,-0.4215,0.5088
25,2.0,selection,GRUENE,57,57,57,5.3684,0.1053,-0.3158,0.5439
25,2.0,selection,SPD,57,57,57,4.9474,-0.4035,-0.8421,0.0877
25,2.0,selection,AfD,57,57,57,3.6316,-0.2456,-0.6842,0.1579
25,2.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,-0.4566,0.4566
25,4.0,selection,CDU_CSU,57,57,57,4.0877,-0.0175,-0.5614,0.5263
25,4.0,selection,GRUENE,57,57,57,5.0351,-0.2281,-0.7373,0.2456
25,4.0,selection,SPD,57,57,57,5.0351,-0.3158,-0.8772,0.2285
25,4.0,selection,AfD,57,57,57,3.5263,-0.3509,-0.9298,0.1583
25,4.0,selection,DIE_LINKE,57,57,57,4.7018,-0.2281,-0.6491,0.1579
25,8.0,selection,CDU_CSU,57,57,57,4.0,-0.1053,-0.5969,0.4035
25,8.0,selection,GRUENE,57,57,57,4.8772,-0.386,-1.0526,0.193
25,8.0,selection,SPD,57,57,57,4.8947,-0.4561,-1.0886,0.1759
25,8.0,selection,AfD,57,57,57,3.5789,-0.2982,-0.8956,0.211
25,8.0,selection,DIE_LINKE,57,57,57,4.5965,-0.3333,-0.9123,0.1579
26,0.0,selection,CDU_CSU,57,57,57,4.1053,0.0,0.0,0.0
26,0.0,selection,GRUENE,57,57,57,5.2632,0.0,0.0,0.0
26,0.0,selection,SPD,57,57,57,5.3509,0.0,0.0,0.0
26,0.0,selection,AfD,57,57,57,3.8772,0.0,0.0,0.0
26,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
26,0.25,selection,CDU_CSU,57,57,57,4.2281,0.1228,-0.2632,0.5439
26,0.25,selection,GRUENE,57,57,57,5.1579,-0.1053,-0.5443,0.386
26,0.25,selection,SPD,57,57,57,5.4035,0.0526,-0.439,0.5439
26,0.25,selection,AfD,57,57,57,4.0877,0.2105,-0.1579,0.5789
26,0.25,selection,DIE_LINKE,57,57,57,4.7719,-0.1579,-0.5263,0.2456
26,0.5,selection,CDU_CSU,57,57,57,4.2281,0.1228,-0.2632,0.5439
26,0.5,selection,GRUENE,57,57,57,5.1754,-0.0877,-0.5263,0.4035
26,0.5,selection,SPD,57,57,57,5.4211,0.0702,-0.4211,0.5789
26,0.5,selection,AfD,57,57,57,4.0702,0.193,-0.1754,0.5618
26,0.5,selection,DIE_LINKE,57,57,57,4.7544,-0.1754,-0.5614,0.2105
26,1.0,selection,CDU_CSU,57,57,57,4.0175,-0.0877,-0.5614,0.386
26,1.0,selection,GRUENE,57,57,57,5.2105,-0.0526,-0.5789,0.5263
26,1.0,selection,SPD,57,57,57,5.2982,-0.0526,-0.5439,0.4386
26,1.0,selection,AfD,57,57,57,3.7895,-0.0877,-0.5969,0.386
26,1.0,selection,DIE_LINKE,57,57,57,4.7719,-0.1579,-0.5614,0.2982
26,2.0,selection,CDU_CSU,57,57,57,3.9649,-0.1404,-0.5965,0.3338
26,2.0,selection,GRUENE,57,57,57,5.193,-0.0702,-0.6491,0.4912
26,2.0,selection,SPD,57,57,57,5.4386,0.0877,-0.4215,0.614
26,2.0,selection,AfD,57,57,57,3.6667,-0.2105,-0.8421,0.2982
26,2.0,selection,DIE_LINKE,57,57,57,4.7544,-0.1754,-0.5439,0.2285
26,4.0,selection,CDU_CSU,57,57,57,3.7895,-0.3158,-0.7719,0.1579
26,4.0,selection,GRUENE,57,57,57,4.9825,-0.2807,-0.8772,0.2807
26,4.0,selection,SPD,57,57,57,5.0877,-0.2632,-0.7018,0.2281
26,4.0,selection,AfD,57,57,57,3.4912,-0.386,-0.9649,0.0702
26,4.0,selection,DIE_LINKE,57,57,57,4.614,-0.3158,-0.6842,0.0702
26,8.0,selection,CDU_CSU,57,57,57,3.6842,-0.4211,-1.0004,0.1228
26,8.0,selection,GRUENE,57,57,57,4.6667,-0.5965,-1.2632,0.0351
26,8.0,selection,SPD,57,57,57,4.8246,-0.5263,-1.0526,0.0175
26,8.0,selection,AfD,57,57,57,3.5789,-0.2982,-0.9649,0.2632
26,8.0,selection,DIE_LINKE,57,57,57,4.3684,-0.5614,-1.0526,-0.1404
29,0.0,selection,CDU_CSU,57,57,57,4.1053,0.0,0.0,0.0
29,0.0,selection,GRUENE,57,57,57,5.2632,0.0,0.0,0.0
29,0.0,selection,SPD,57,57,57,5.3509,0.0,0.0,0.0
29,0.0,selection,AfD,57,57,57,3.8772,0.0,0.0,0.0
29,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
29,0.25,selection,CDU_CSU,57,57,57,4.2281,0.1228,-0.2807,0.5263
29,0.25,selection,GRUENE,57,57,57,5.0702,-0.193,-0.614,0.2105
29,0.25,selection,SPD,57,57,57,5.1754,-0.1754,-0.807,0.4035
29,0.25,selection,AfD,57,57,57,3.7018,-0.1754,-0.4912,0.1404
29,0.25,selection,DIE_LINKE,57,57,57,5.0351,0.1053,-0.3158,0.5092
29,0.5,selection,CDU_CSU,57,57,57,4.0,-0.1053,-0.5614,0.3684
29,0.5,selection,GRUENE,57,57,57,5.1404,-0.1228,-0.5439,0.2982
29,0.5,selection,SPD,57,57,57,5.2632,-0.0877,-0.614,0.4561
29,0.5,selection,AfD,57,57,57,3.6316,-0.2456,-0.7193,0.2105
29,0.5,selection,DIE_LINKE,57,57,57,5.1579,0.2281,-0.1404,0.6316
29,1.0,selection,CDU_CSU,57,57,57,4.1404,0.0351,-0.4561,0.5447
29,1.0,selection,GRUENE,57,57,57,5.0526,-0.2105,-0.7368,0.2982
29,1.0,selection,SPD,57,57,57,4.8421,-0.5088,-1.1053,0.0882
29,1.0,selection,AfD,57,57,57,3.4386,-0.4386,-0.9825,0.0175
29,1.0,selection,DIE_LINKE,57,57,57,4.8246,-0.1053,-0.5789,0.3509
29,2.0,selection,CDU_CSU,57,57,57,4.0175,-0.0877,-0.5439,0.3684
