layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
21,0.0,selection,CDU_CSU,57,57,57,4.1579,0.0,0.0,0.0
21,0.0,selection,GRUENE,57,57,57,4.9649,0.0,0.0,0.0
21,0.0,selection,SPD,57,57,57,5.3509,0.0,0.0,0.0
21,0.0,selection,AfD,57,57,57,3.9825,0.0,0.0,0.0
21,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
21,0.25,selection,CDU_CSU,57,57,57,4.3684,0.2105,-0.2456,0.6667
21,0.25,selection,GRUENE,57,57,57,5.0,0.0351,-0.4035,0.4912
21,0.25,selection,SPD,57,57,57,5.3158,-0.0351,-0.4386,0.4035
21,0.25,selection,AfD,57,57,57,3.8947,-0.0877,-0.4035,0.2456
21,0.25,selection,DIE_LINKE,57,57,57,4.8596,-0.0702,-0.5439,0.4035
21,0.5,selection,CDU_CSU,57,57,57,4.2105,0.0526,-0.5092,0.5789
21,0.5,selection,GRUENE,57,57,57,5.1228,0.1579,-0.3158,0.7018
21,0.5,selection,SPD,57,57,57,5.193,-0.1579,-0.5965,0.2807
21,0.5,selection,AfD,57,57,57,3.7368,-0.2456,-0.6842,0.1579
21,0.5,selection,DIE_LINKE,57,57,57,4.9649,0.0351,-0.4386,0.5789
21,1.0,selection,CDU_CSU,57,57,57,4.0175,-0.1404,-0.7018,0.3513
21,1.0,selection,GRUENE,57,57,57,4.9649,0.0,-0.4561,0.5614
21,1.0,selection,SPD,57,57,57,5.193,-0.1579,-0.6316,0.3158
21,1.0,selection,AfD,57,57,57,3.4561,-0.5263,-0.9825,-0.0702
21,1.0,selection,DIE_LINKE,57,57,57,5.0175,0.0877,-0.386,0.5789
21,2.0,selection,CDU_CSU,57,57,57,4.0351,-0.1228,-0.6491,0.3689
21,2.0,selection,GRUENE,57,57,57,5.0,0.0351,-0.4386,0.5965
21,2.0,selection,SPD,57,57,57,5.2632,-0.0877,-0.5614,0.4035
21,2.0,selection,AfD,57,57,57,3.4737,-0.5088,-0.9649,-0.0702
21,2.0,selection,DIE_LINKE,57,57,57,5.0351,0.1053,-0.3684,0.5794
21,4.0,selection,CDU_CSU,57,57,57,3.7895,-0.3684,-0.8421,0.0702
21,4.0,selection,GRUENE,57,57,57,4.7368,-0.2281,-0.8596,0.4561
21,4.0,selection,SPD,57,57,57,5.0351,-0.3158,-0.8952,0.2632
21,4.0,selection,AfD,57,57,57,3.3333,-0.6491,-1.2105,-0.1399
21,4.0,selection,DIE_LINKE,57,57,57,4.6491,-0.2807,-0.8947,0.2982
21,8.0,selection,CDU_CSU,57,57,57,3.614,-0.5439,-1.0526,-0.0526
21,8.0,selection,GRUENE,57,57,57,4.7368,-0.2281,-0.8601,0.4395
21,8.0,selection,SPD,57,57,57,4.9825,-0.3684,-0.9825,0.2461
21,8.0,selection,AfD,57,57,57,3.4211,-0.5614,-1.193,0.0175
21,8.0,selection,DIE_LINKE,57,57,57,4.5439,-0.386,-0.9654,0.1408
23,0.0,selection,CDU_CSU,57,57,57,4.1579,0.0,0.0,0.0
23,0.0,selection,GRUENE,57,57,57,4.9649,0.0,0.0,0.0
23,0.0,selection,SPD,57,57,57,5.3509,0.0,0.0,0.0
23,0.0,selection,AfD,57,57,57,3.9825,0.0,0.0,0.0
23,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
23,0.25,selection,CDU_CSU,57,57,57,4.1228,-0.0351,-0.4211,0.4215
23,0.25,selection,GRUENE,57,57,57,5.2807,0.3158,-0.0877,0.7368
23,0.25,selection,SPD,57,57,57,5.1228,-0.2281,-0.7193,0.1754
23,0.25,selection,AfD,57,57,57,3.8246,-0.1579,-0.4035,0.1053
23,0.25,selection,DIE_LINKE,57,57,57,4.8421,-0.0877,-0.4215,0.2816
23,0.5,selection,CDU_CSU,57,57,57,3.8596,-0.2982,-0.7018,0.1228
23,0.5,selection,GRUENE,57,57,57,5.0,0.0351,-0.4039,0.5614
23,0.5,selection,SPD,57,57,57,5.2281,-0.1228,-0.6491,0.3684
23,0.5,selection,AfD,57,57,57,3.7895,-0.193,-0.5789,0.193
23,0.5,selection,DIE_LINKE,57,57,57,4.8596,-0.0702,-0.4737,0.4035
23,1.0,selection,CDU_CSU,57,57,57,3.8947,-0.2632,-0.7018,0.193
23,1.0,selection,GRUENE,57,57,57,5.0,0.0351,-0.3509,0.4211
23,1.0,selection,SPD,57,57,57,5.2632,-0.0877,-0.632,0.386
23,1.0,selection,AfD,57,57,57,3.6491,-0.3333,-0.7197,0.0004
23,1.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,-0.5092,0.4917
23,2.0,selection,CDU_CSU,57,57,57,4.0,-0.1579,-0.6667,0.3333
