layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
14,0.0,selection,CDU_CSU,57,57,57,4.3684,0.0,0.0,0.0
14,0.0,selection,GRUENE,57,57,57,5.2807,0.0,0.0,0.0
14,0.0,selection,SPD,57,57,57,5.7368,0.0,0.0,0.0
14,0.0,selection,AfD,57,57,57,3.9298,0.0,0.0,0.0
14,0.0,selection,DIE_LINKE,57,57,57,4.8947,0.0,0.0,0.0
14,0.25,selection,CDU_CSU,57,57,57,4.3333,-0.0351,-0.3333,0.2636
14,0.25,selection,GRUENE,57,57,57,5.0351,-0.2456,-0.5965,0.0702
14,0.25,selection,SPD,57,57,57,5.2456,-0.4912,-0.8776,-0.0877
14,0.25,selection,AfD,57,57,57,3.8246,-0.1053,-0.5268,0.2982
14,0.25,selection,DIE_LINKE,57,57,57,4.6842,-0.2105,-0.5614,0.1934
14,0.5,selection,CDU_CSU,57,57,57,4.3333,-0.0351,-0.3333,0.2636
14,0.5,selection,GRUENE,57,57,57,5.0351,-0.2456,-0.5965,0.0702
14,0.5,selection,SPD,57,57,57,5.2456,-0.4912,-0.8776,-0.0877
14,0.5,selection,AfD,57,57,57,3.8246,-0.1053,-0.5268,0.2982
14,0.5,selection,DIE_LINKE,57,57,57,4.6842,-0.2105,-0.5614,0.1934
14,1.0,selection,CDU_CSU,57,57,57,4.2807,-0.0877,-0.386,0.2281
14,1.0,selection,GRUENE,57,57,57,4.8596,-0.4211,-0.7368,-0.1228
14,1.0,selection,SPD,57,57,57,5.2281,-0.5088,-0.8596,-0.0702
14,1.0,selection,AfD,57,57,57,3.7193,-0.2105,-0.6491,0.193
14,1.0,selection,DIE_LINKE,57,57,57,4.6667,-0.2281,-0.5965,0.1579
14,2.0,selection,CDU_CSU,57,57,57,4.2807,-0.0877,-0.386,0.2281
14,2.0,selection,GRUENE,57,57,57,4.7719,-0.5088,-0.8246,-0.2105
14,2.0,selection,SPD,57,57,57,5.2456,-0.4912,-0.8596,-0.0702
14,2.0,selection,AfD,57,57,57,3.7018,-0.2281,-0.6667,0.193
14,2.0,selection,DIE_LINKE,57,57,57,4.6491,-0.2456,-0.5618,0.1228
14,4.0,selection,CDU_CSU,57,57,57,4.193,-0.1754,-0.5965,0.2807
14,4.0,selection,GRUENE,57,57,57,4.4912,-0.7895,-1.2807,-0.3333
