layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
26,0.0,selection,CDU_CSU,57,57,57,4.4035,0.0,0.0,0.0
26,0.0,selection,GRUENE,57,57,57,5.0702,0.0,0.0,0.0
26,0.0,selection,SPD,57,57,57,4.8246,0.0,0.0,0.0
26,0.0,selection,AfD,57,57,57,3.1053,0.0,0.0,0.0
26,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
26,0.25,selection,CDU_CSU,57,57,57,4.5263,0.1228,-0.3158,0.5965
26,0.25,selection,GRUENE,57,57,57,4.9649,-0.1053,-0.4912,0.2632
26,0.25,selection,SPD,57,57,57,4.8947,0.0702,-0.4211,0.614
26,0.25,selection,AfD,57,57,57,3.3509,0.2456,-0.0877,0.5794
26,0.25,selection,DIE_LINKE,57,57,57,4.9474,0.0175,-0.4211,0.4386
26,0.5,selection,CDU_CSU,57,57,57,4.4211,0.0175,-0.386,0.4737
26,0.5,selection,GRUENE,57,57,57,5.0,-0.0702,-0.4561,0.3158
26,0.5,selection,SPD,57,57,57,4.9298,0.1053,-0.3513,0.6491
26,0.5,selection,AfD,57,57,57,3.2807,0.1754,-0.1754,0.5439
26,0.5,selection,DIE_LINKE,57,57,57,4.9123,-0.0175,-0.4741,0.4035
26,1.0,selection,CDU_CSU,57,57,57,4.5088,0.1053,-0.2632,0.5092
26,1.0,selection,GRUENE,57,57,57,4.9298,-0.1404,-0.5088,0.2105
26,1.0,selection,SPD,57,57,57,4.9123,0.0877,-0.4035,0.6145
26,1.0,selection,AfD,57,57,57,3.2456,0.1404,-0.1754,0.4737
26,1.0,selection,DIE_LINKE,57,57,57,4.8596,-0.0702,-0.5088,0.2982
26,2.0,selection,CDU_CSU,57,57,57,4.4737,0.0702,-0.2982,0.4912
26,2.0,selection,GRUENE,57,57,57,4.9298,-0.1404,-0.5092,0.2105
26,2.0,selection,SPD,57,57,57,4.9649,0.1404,-0.3333,0.6842
26,2.0,selection,AfD,57,57,57,3.1404,0.0351,-0.3333,0.4039
26,2.0,selection,DIE_LINKE,57,57,57,4.8772,-0.0526,-0.5088,0.3333
26,4.0,selection,CDU_CSU,57,57,57,4.5088,0.1053,-0.2632,0.5263
26,4.0,selection,GRUENE,57,57,57,4.9298,-0.1404,-0.5268,0.2281
26,4.0,selection,SPD,57,57,57,4.8947,0.0702,-0.4039,0.5794
26,4.0,selection,AfD,57,57,57,3.1754,0.0702,-0.2456,0.386
26,4.0,selection,DIE_LINKE,57,57,57,4.7368,-0.193,-0.5965,0.1583
26,8.0,selection,CDU_CSU,57,57,57,3.7719,-0.6316,-1.2285,-0.1044
26,8.0,selection,GRUENE,57,57,57,4.6842,-0.386,-0.9825,0.2636
26,8.0,selection,SPD,57,57,57,4.7368,-0.0877,-0.632,0.5614
26,8.0,selection,AfD,57,57,57,2.9298,-0.1754,-0.7018,0.3158
26,8.0,selection,DIE_LINKE,57,57,57,4.2281,-0.7018,-1.2636,-0.0877
27,0.0,selection,CDU_CSU,57,57,57,4.4035,0.0,0.0,0.0
27,0.0,selection,GRUENE,57,57,57,5.0702,0.0,0.0,0.0
27,0.0,selection,SPD,57,57,57,4.8246,0.0,0.0,0.0
27,0.0,selection,AfD,57,57,57,3.1053,0.0,0.0,0.0
27,0.0,selection,DIE_LINKE,57,57,57,4.9298,0.0,0.0,0.0
27,0.25,selection,CDU_CSU,57,57,57,4.4561,0.0526,-0.2982,0.4386
27,0.25,selection,GRUENE,57,57,57,4.6667,-0.4035,-0.9474,0.1232
27,0.25,selection,SPD,57,57,57,4.7018,-0.1228,-0.5443,0.2811
27,0.25,selection,AfD,57,57,57,3.386,0.2807,-0.1053,0.6491
27,0.25,selection,DIE_LINKE,57,57,57,4.7193,-0.2105,-0.6846,0.2456
