layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
19,0.0,selection,CDU_CSU,57,57,57,4.4386,0.0,0.0,0.0
19,0.0,selection,GRUENE,57,57,57,4.9649,0.0,0.0,0.0
19,0.0,selection,SPD,57,57,57,5.4035,0.0,0.0,0.0
19,0.0,selection,AfD,57,57,57,3.5263,0.0,0.0,0.0
19,0.0,selection,DIE_LINKE,57,57,57,5.1228,0.0,0.0,0.0
19,0.25,selection,CDU_CSU,57,57,57,4.5088,0.0702,-0.2456,0.4039
19,0.25,selection,GRUENE,57,57,57,5.0,0.0351,-0.3513,0.4561
19,0.25,selection,SPD,57,57,57,4.7719,-0.6316,-1.1053,-0.1579
19,0.25,selection,AfD,57,57,57,3.5439,0.0175,-0.3513,0.4386
19,0.25,selection,DIE_LINKE,57,57,57,4.7193,-0.4035,-0.7368,-0.0702
19,0.5,selection,CDU_CSU,57,57,57,4.5088,0.0702,-0.2456,0.386
19,0.5,selection,GRUENE,57,57,57,4.9649,0.0,-0.386,0.4035
19,0.5,selection,SPD,57,57,57,4.7895,-0.614,-1.0877,-0.1053
19,0.5,selection,AfD,57,57,57,3.5088,-0.0175,-0.4035,0.4035
19,0.5,selection,DIE_LINKE,57,57,57,4.7193,-0.4035,-0.7368,-0.0877
19,1.0,selection,CDU_CSU,57,57,57,4.4561,0.0175,-0.2982,0.3333
19,1.0,selection,GRUENE,57,57,57,4.9298,-0.0351,-0.4386,0.386
19,1.0,selection,SPD,57,57,57,4.7719,-0.6316,-1.1404,-0.1228
19,1.0,selection,AfD,57,57,57,3.2105,-0.3158,-0.7904,0.1754
19,1.0,selection,DIE_LINKE,57,57,57,4.4561,-0.6667,-1.1579,-0.2632
19,2.0,selection,CDU_CSU,57,57,57,4.5088,0.0702,-0.2281,0.3684
19,2.0,selection,GRUENE,57,57,57,4.9649,0.0,-0.4035,0.4211
19,2.0,selection,SPD,57,57,57,4.8421,-0.5614,-1.0702,-0.0175
19,2.0,selection,AfD,57,57,57,3.2105,-0.3158,-0.807,0.1404
19,2.0,selection,DIE_LINKE,57,57,57,4.5439,-0.5789,-1.1057,-0.1579
19,4.0,selection,CDU_CSU,57,57,57,4.5263,0.0877,-0.193,0.4035
19,4.0,selection,GRUENE,57,57,57,5.0175,0.0526,-0.386,0.4917
19,4.0,selection,SPD,57,57,57,4.7544,-0.6491,-1.1404,-0.1048
19,4.0,selection,AfD,57,57,57,3.1754,-0.3509,-0.8425,0.0877
19,4.0,selection,DIE_LINKE,57,57,57,4.6842,-0.4386,-0.8772,-0.0526
19,8.0,selection,CDU_CSU,57,57,57,4.4386,0.0,-0.4386,0.4211
19,8.0,selection,GRUENE,57,57,57,4.9825,0.0175,-0.4741,0.4737
19,8.0,selection,SPD,57,57,57,4.7368,-0.6667,-1.1579,-0.0877
19,8.0,selection,AfD,57,57,57,3.1579,-0.3684,-0.8772,0.0882
19,8.0,selection,DIE_LINKE,57,57,57,4.5789,-0.5439,-1.0351,-0.1053
20,0.0,selection,CDU_CSU,57,57,57,4.4386,0.0,0.0,0.0
20,0.0,selection,GRUENE,57,57,57,4.9649,0.0,0.0,0.0
20,0.0,selection,SPD,57,57,57,5.4035,0.0,0.0,0.0
20,0.0,selection,AfD,57,57,57,3.5263,0.0,0.0,0.0
20,0.0,selection,DIE_LINKE,57,57,57,5.1228,0.0,0.0,0.0
20,0.25,selection,CDU_CSU,57,57,57,4.5614,0.1228,-0.2285,0.4741
20,0.25,selection,GRUENE,57,57,57,4.7018,-0.2632,-0.6491,0.1579
20,0.25,selection,SPD,57,57,57,4.8772,-0.5263,-0.9829,-0.0351
20,0.25,selection,AfD,57,57,57,3.0526,-0.4737,-0.807,-0.1228
20,0.25,selection,DIE_LINKE,57,57,57,4.6316,-0.4912,-0.8956,-0.1048
20,0.5,selection,CDU_CSU,57,57,57,4.5965,0.1579,-0.1408,0.4912
20,0.5,selection,GRUENE,57,57,57,4.7193,-0.2456,-0.6491,0.2105
20,0.5,selection,SPD,57,57,57,5.0702,-0.3333,-0.8075,0.1583
20,0.5,selection,AfD,57,57,57,3.2105,-0.3158,-0.632,0.0
20,0.5,selection,DIE_LINKE,57,57,57,4.9474,-0.1754,-0.5789,0.1754
