layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
19,0.0,selection,CDU_CSU,57,57,57,4.3684,0.0,0.0,0.0
19,0.0,selection,GRUENE,57,57,57,4.5263,0.0,0.0,0.0
19,0.0,selection,SPD,57,57,57,4.8947,0.0,0.0,0.0
19,0.0,selection,AfD,57,57,57,3.2807,0.0,0.0,0.0
19,0.0,selection,DIE_LINKE,57,57,57,4.8947,0.0,0.0,0.0
19,0.25,selection,CDU_CSU,57,57,57,4.5439,0.1754,-0.1228,0.5263
19,0.25,selection,GRUENE,57,57,57,4.9474,0.4211,0.0,0.8947
19,0.25,selection,SPD,57,57,57,4.807,-0.0877,-0.5263,0.3513
19,0.25,selection,AfD,57,57,57,3.2456,-0.0351,-0.3689,0.3684
19,0.25,selection,DIE_LINKE,57,57,57,4.8246,-0.0702,-0.4211,0.2807
19,0.5,selection,CDU_CSU,57,57,57,4.5263,0.1579,-0.1579,0.5088
19,0.5,selection,GRUENE,57,57,57,5.0702,0.5439,0.1404,1.0
19,0.5,selection,SPD,57,57,57,4.8421,-0.0526,-0.4386,0.3167
19,0.5,selection,AfD,57,57,57,3.193,-0.0877,-0.4566,0.3333
19,0.5,selection,DIE_LINKE,57,57,57,4.8421,-0.0526,-0.4039,0.3158
19,1.0,selection,CDU_CSU,57,57,57,4.5965,0.2281,-0.0702,0.6316
19,1.0,selection,GRUENE,57,57,57,4.8246,0.2982,-0.1228,0.7368
19,1.0,selection,SPD,57,57,57,4.8421,-0.0526,-0.5263,0.4386
19,1.0,selection,AfD,57,57,57,3.0,-0.2807,-0.6316,0.1053
19,1.0,selection,DIE_LINKE,57,57,57,4.5614,-0.3333,-0.7544,0.0
19,2.0,selection,CDU_CSU,57,57,57,4.6491,0.2807,-0.0351,0.6667
19,2.0,selection,GRUENE,57,57,57,4.8596,0.3333,-0.0526,0.7544
19,2.0,selection,SPD,57,57,57,4.8947,0.0,-0.4566,0.4912
19,2.0,selection,AfD,57,57,57,3.0,-0.2807,-0.6491,0.1404
19,2.0,selection,DIE_LINKE,57,57,57,4.614,-0.2807,-0.6667,0.0531
