layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
18,0.0,selection,CDU_CSU,57,57,57,4.4561,0.0,0.0,0.0
18,0.0,selection,GRUENE,57,57,57,4.9825,0.0,0.0,0.0
18,0.0,selection,SPD,57,57,57,5.2632,0.0,0.0,0.0
18,0.0,selection,AfD,57,57,57,3.2632,0.0,0.0,0.0
18,0.0,selection,DIE_LINKE,57,57,57,5.193,0.0,0.0,0.0
18,0.25,selection,CDU_CSU,57,57,57,4.3333,-0.1228,-0.4211,0.2281
18,0.25,selection,GRUENE,57,57,57,4.7719,-0.2105,-0.7018,0.2105
18,0.25,selection,SPD,57,57,57,4.7193,-0.5439,-1.0526,0.0
18,0.25,selection,AfD,57,57,57,3.0175,-0.2456,-0.6145,0.1057
18,0.25,selection,DIE_LINKE,57,57,57,4.7018,-0.4912,-0.8596,-0.193
18,0.5,selection,CDU_CSU,57,57,57,4.5088,0.0526,-0.2632,0.4035
18,0.5,selection,GRUENE,57,57,57,4.9649,-0.0175,-0.386,0.3333
18,0.5,selection,SPD,57,57,57,4.5789,-0.6842,-1.193,-0.1746
18,0.5,selection,AfD,57,57,57,3.1579,-0.1053,-0.5263,0.2987
18,0.5,selection,DIE_LINKE,57,57,57,4.8246,-0.3684,-0.7193,-0.0526
18,1.0,selection,CDU_CSU,57,57,57,4.5088,0.0526,-0.2807,0.4035
18,1.0,selection,GRUENE,57,57,57,4.9825,0.0,-0.4566,0.457
18,1.0,selection,SPD,57,57,57,4.7544,-0.5088,-0.9825,0.0
18,1.0,selection,AfD,57,57,57,3.2632,0.0,-0.4039,0.386
18,1.0,selection,DIE_LINKE,57,57,57,4.8246,-0.3684,-0.7895,0.0
18,2.0,selection,CDU_CSU,57,57,57,4.2982,-0.1579,-0.5088,0.2281
18,2.0,selection,GRUENE,57,57,57,4.8421,-0.1404,-0.5965,0.3509
18,2.0,selection,SPD,57,57,57,4.7193,-0.5439,-1.0526,-0.0351
18,2.0,selection,AfD,57,57,57,3.1053,-0.1579,-0.5439,0.1934
18,2.0,selection,DIE_LINKE,57,57,57,4.6842,-0.5088,-0.8947,-0.193
