layer,alpha,split,compared_party_key,n_total,n_valid,n_pairs,mean_score,mean_delta,ci_low,ci_high
19,0.0,selection,CDU_CSU,57,57,57,4.5965,0.0,0.0,0.0
19,0.0,selection,GRUENE,57,57,57,5.4561,0.0,0.0,0.0
19,0.0,selection,SPD,57,57,57,5.193,0.0,0.0,0.0
19,0.0,selection,AfD,57,57,57,3.4737,0.0,0.0,0.0
19,0.0,selection,DIE_LINKE,57,57,57,4.9474,0.0,0.0,0.0
19,0.25,selection,CDU_CSU,57,57,57,4.5439,-0.0526,-0.3513,0.2281
19,0.25,selection,GRUENE,57,57,57,4.9649,-0.4912,-0.8421,-0.175
19,0.25,selection,SPD,57,57,57,4.9825,-0.2105,-0.6667,0.3158
19,0.25,selection,AfD,57,57,57,3.2456,-0.2281,-0.614,0.1579
19,0.25,selection,DIE_LINKE,57,57,57,4.8421,-0.1053,-0.5268,0.3158
19,0.5,selection,CDU_CSU,57,57,57,4.5965,0.0,-0.3158,0.3509
19,0.5,selection,GRUENE,57,57,57,4.8246,-0.6316,-0.9649,-0.2632
19,0.5,selection,SPD,57,57,57,4.8772,-0.3158,-0.7193,0.1053
19,0.5,selection,AfD,57,57,57,3.4386,-0.0351,-0.4561,0.4386
19,0.5,selection,DIE_LINKE,57,57,57,4.807,-0.1404,-0.6491,0.3509
19,1.0,selection,CDU_CSU,57,57,57,4.386,-0.2105,-0.5614,0.1232
19,1.0,selection,GRUENE,57,57,57,5.0,-0.4561,-0.7719,-0.1053
19,1.0,selection,SPD,57,57,57,4.9474,-0.2456,-0.6842,0.2636
19,1.0,selection,AfD,57,57,57,3.2281,-0.2456,-0.6496,0.1763
19,1.0,selection,DIE_LINKE,57,57,57,4.7018,-0.2456,-0.614,0.1754
19,2.0,selection,CDU_CSU,57,57,57,4.5439,-0.0526,-0.4912,0.3338
19,2.0,selection,GRUENE,57,57,57,4.9825,-0.4737,-0.8421,-0.1053
19,2.0,selection,SPD,57,57,57,4.9649,-0.2281,-0.6491,0.2632
19,2.0,selection,AfD,57,57,57,3.2632,-0.2105,-0.6145,0.2807
19,2.0,selection,DIE_LINKE,57,57,57,4.4737,-0.4737,-0.9298,-0.0351
19,4.0,selection,CDU_CSU,57,57,57,4.4211,-0.1754,-0.5965,0.2281
19,4.0,selection,GRUENE,57,57,57,4.807,-0.6491,-1.0175,-0.2456
19,4.0,selection,SPD,57,57,57,4.8421,-0.3509,-0.8246,0.1579
19,4.0,selection,AfD,57,57,57,3.2807,-0.193,-0.6667,0.3684
19,4.0,selection,DIE_LINKE,57,57,57,4.4211,-0.5263,-0.9478,-0.1053
19,8.0,selection,CDU_CSU,57,57,57,4.4035,-0.193,-0.6491,0.2105
19,8.0,selection,GRUENE,57,57,57,4.8596,-0.5965,-1.0,-0.193
19,8.0,selection,SPD,57,57,57,4.8772,-0.3158,-0.7544,0.1754
19,8.0,selection,AfD,57,57,57,3.2632,-0.2105,-0.6667,0.3158
19,8.0,selection,DIE_LINKE,57,57,57,4.3684,-0.5789,-1.0526,-0.1404
20,0.0,selection,CDU_CSU,57,57,57,4.5965,0.0,0.0,0.0
20,0.0,selection,GRUENE,57,57,57,5.4561,0.0,0.0,0.0
20,0.0,selection,SPD,57,57,57,5.193,0.0,0.0,0.0
